state_abbreviation,congressional_district,State Office,State District,FracCDFromSLD,FracSLDFromCD
AK,0,Lower,"7",2.80,0.60
AK,0,Lower,"8",2.80,0.60
AK,0,Lower,"10",2.80,0.60
AK,0,Lower,"11",2.80,0.60
AK,0,Lower,"12",2.60,0.60
AK,0,Lower,"29",2.60,0.60
AK,0,Lower,"30",2.60,0.60
AK,0,Lower,"31",2.60,0.60
AK,0,Lower,"1",2.50,0.60
AK,0,Lower,"2",2.50,0.60
AK,0,Lower,"3",2.50,0.60
AK,0,Lower,"4",2.50,0.50
AK,0,Lower,"5",2.50,0.60
AK,0,Lower,"9",2.50,0.60
AK,0,Lower,"14",2.50,0.50
AK,0,Lower,"16",2.50,0.50
AK,0,Lower,"17",2.50,0.50
AK,0,Lower,"18",2.50,0.50
AK,0,Lower,"23",2.50,0.60
AK,0,Lower,"25",2.50,0.50
AK,0,Lower,"33",2.50,0.60
AK,0,Lower,"34",2.50,0.60
AK,0,Lower,"36",2.50,0.60
AK,0,Lower,"38",2.50,0.60
AK,0,Lower,"39",2.50,0.60
AK,0,Lower,"6",2.40,0.50
AK,0,Lower,"13",2.40,0.50
AK,0,Lower,"15",2.40,0.50
AK,0,Lower,"19",2.40,0.50
AK,0,Lower,"20",2.40,0.50
AK,0,Lower,"21",2.40,0.50
AK,0,Lower,"22",2.40,0.50
AK,0,Lower,"24",2.40,0.50
AK,0,Lower,"26",2.40,0.50
AK,0,Lower,"27",2.40,0.50
AK,0,Lower,"28",2.40,0.50
AK,0,Lower,"32",2.40,0.60
AK,0,Lower,"35",2.40,0.60
AK,0,Lower,"37",2.40,0.60
AK,0,Lower,"40",2.40,0.60
AK,0,Upper,"00D",5.60,100.00
AK,0,Upper,"00E",5.40,100.00
AK,0,Upper,"00F",5.40,100.00
AK,0,Upper,"00O",5.10,100.00
AK,0,Upper,"00P",5.00,100.00
AK,0,Upper,"00A",4.90,100.00
AK,0,Upper,"00B",4.90,100.00
AK,0,Upper,"00C",4.90,100.00
AK,0,Upper,"00G",4.90,100.00
AK,0,Upper,"00H",4.90,100.00
AK,0,Upper,"00I",4.90,100.00
AK,0,Upper,"00J",4.90,100.00
AK,0,Upper,"00K",4.90,100.00
AK,0,Upper,"00L",4.90,100.00
AK,0,Upper,"00M",4.90,100.00
AK,0,Upper,"00N",4.90,100.00
AK,0,Upper,"00Q",4.90,100.00
AK,0,Upper,"00R",4.90,100.00
AK,0,Upper,"00S",4.90,100.00
AK,0,Upper,"00T",4.90,100.00
AL,1,Lower,"94",7.40,3.00
AL,1,Lower,"95",7.40,3.00
AL,1,Lower,"96",7.30,3.00
AL,1,Lower,"64",7.20,2.10
AL,1,Lower,"66",6.70,2.00
AL,1,Lower,"97",6.40,2.60
AL,1,Lower,"98",6.40,2.60
AL,1,Lower,"99",6.40,2.60
AL,1,Lower,"100",6.40,3.10
AL,1,Lower,"101",6.40,3.70
AL,1,Lower,"102",6.40,3.80
AL,1,Lower,"103",6.40,3.70
AL,1,Lower,"104",6.40,3.80
AL,1,Lower,"105",6.40,3.70
AL,1,Lower,"65",3.10,0.90
AL,1,Lower,"68",2.60,0.80
AL,1,Lower,"92",0.70,0.30
AL,1,Upper,"32",22.30,2.50
AL,1,Upper,"33",19.30,2.20
AL,1,Upper,"34",19.20,2.40
AL,1,Upper,"35",19.20,2.60
AL,1,Upper,"22",18.10,1.60
AL,1,Upper,"23",1.90,0.20
AL,2,Lower,"31",6.90,1.50
AL,2,Lower,"86",6.90,2.70
AL,2,Lower,"88",6.90,2.70
AL,2,Lower,"87",6.80,2.70
AL,2,Lower,"91",6.80,2.70
AL,2,Lower,"85",6.70,2.60
AL,2,Lower,"89",6.70,2.60
AL,2,Lower,"93",6.60,2.60
AL,2,Lower,"90",6.50,2.60
AL,2,Lower,"74",6.00,1.80
AL,2,Lower,"92",5.80,2.30
AL,2,Lower,"77",5.40,1.60
AL,2,Lower,"84",5.30,2.10
AL,2,Lower,"78",4.00,1.20
AL,2,Lower,"75",3.60,1.10
AL,2,Lower,"76",3.20,1.00
AL,2,Lower,"42",2.40,0.60
AL,2,Lower,"69",2.40,0.70
AL,2,Lower,"68",1.10,0.30
AL,2,Upper,"29",20.40,1.80
AL,2,Upper,"31",20.30,1.90
AL,2,Upper,"25",15.90,1.40
AL,2,Upper,"30",15.80,1.40
AL,2,Upper,"26",11.60,1.00
AL,2,Upper,"28",11.30,1.00
AL,2,Upper,"23",4.20,0.40
AL,2,Upper,"22",0.50,0.00
AL,3,Lower,"79",7.40,2.40
AL,3,Lower,"80",7.30,2.30
AL,3,Lower,"83",7.30,3.00
AL,3,Lower,"38",7.10,1.70
AL,3,Lower,"50",6.90,1.90
AL,3,Lower,"36",6.60,1.50
AL,3,Lower,"37",6.50,1.50
AL,3,Lower,"82",6.50,2.70
AL,3,Lower,"32",6.30,1.40
AL,3,Lower,"40",6.30,1.40
AL,3,Lower,"35",6.00,1.40
AL,3,Lower,"33",5.70,1.20
AL,3,Lower,"39",5.60,1.30
AL,3,Lower,"81",5.10,2.10
AL,3,Lower,"75",3.10,1.00
AL,3,Lower,"30",2.80,0.60
AL,3,Lower,"84",1.20,0.50
AL,3,Lower,"78",0.80,0.30
AL,3,Lower,"29",0.70,0.20
AL,3,Lower,"74",0.60,0.20
AL,3,Upper,"27",21.50,2.00
AL,3,Upper,"13",20.50,1.70
AL,3,Upper,"12",18.70,1.60
AL,3,Upper,"11",16.30,1.40
AL,3,Upper,"28",8.60,0.80
AL,3,Upper,"25",3.70,0.30
AL,3,Upper,"10",3.50,0.30
AL,3,Upper,"15",3.30,0.30
AL,3,Upper,"17",2.00,0.20
AL,3,Upper,"30",1.10,0.10
AL,3,Upper,"26",0.80,0.10
AL,4,Lower,"12",6.80,1.40
AL,4,Lower,"26",6.80,1.40
AL,4,Lower,"24",6.70,1.30
AL,4,Lower,"27",6.70,1.40
AL,4,Lower,"28",6.60,1.30
AL,4,Lower,"3",6.50,1.30
AL,4,Lower,"17",6.40,1.30
AL,4,Lower,"7",6.00,1.20
AL,4,Lower,"29",5.90,1.20
AL,4,Lower,"18",5.80,1.10
AL,4,Lower,"13",5.70,1.10
AL,4,Lower,"14",5.70,1.10
AL,4,Lower,"11",4.20,0.90
AL,4,Lower,"16",4.20,0.80
AL,4,Lower,"61",4.00,1.10
AL,4,Lower,"30",3.80,0.80
AL,4,Lower,"63",3.00,0.80
AL,4,Lower,"9",1.90,0.40
AL,4,Lower,"34",1.80,0.40
AL,4,Lower,"39",0.90,0.20
AL,4,Lower,"62",0.40,0.10
AL,4,Lower,"23",0.30,0.10
AL,4,Upper,"4",19.90,1.70
AL,4,Upper,"5",16.90,1.40
AL,4,Upper,"9",16.60,1.40
AL,4,Upper,"10",16.30,1.40
AL,4,Upper,"6",15.80,1.30
AL,4,Upper,"8",7.50,0.60
AL,4,Upper,"21",7.00,0.60
AL,5,Lower,"5",7.10,1.50
AL,5,Lower,"6",6.90,1.50
AL,5,Lower,"25",6.90,1.40
AL,5,Lower,"20",6.80,1.40
AL,5,Lower,"21",6.80,1.40
AL,5,Lower,"22",6.80,1.40
AL,5,Lower,"10",6.70,1.40
AL,5,Lower,"19",6.70,1.40
AL,5,Lower,"53",6.70,2.00
AL,5,Lower,"2",6.50,1.40
AL,5,Lower,"4",6.50,1.40
AL,5,Lower,"1",6.40,1.40
AL,5,Lower,"8",6.30,1.30
AL,5,Lower,"23",6.10,1.30
AL,5,Lower,"9",4.50,1.00
AL,5,Lower,"18",0.90,0.20
AL,5,Lower,"11",0.60,0.10
AL,5,Lower,"7",0.50,0.10
AL,5,Lower,"3",0.20,0.10
AL,5,Upper,"2",20.80,1.80
AL,5,Upper,"7",20.60,1.80
AL,5,Upper,"1",20.20,1.80
AL,5,Upper,"3",19.50,1.70
AL,5,Upper,"8",12.30,1.10
AL,5,Upper,"6",3.80,0.30
AL,5,Upper,"9",2.90,0.30
AL,6,Lower,"73",7.10,2.20
AL,6,Lower,"41",7.00,1.70
AL,6,Lower,"43",7.00,1.70
AL,6,Lower,"49",6.80,1.80
AL,6,Lower,"45",6.70,1.70
AL,6,Lower,"48",6.60,1.70
AL,6,Lower,"44",6.50,1.70
AL,6,Lower,"46",6.50,1.60
AL,6,Lower,"47",6.50,1.70
AL,6,Lower,"51",6.50,1.80
AL,6,Lower,"15",5.00,1.00
AL,6,Lower,"34",4.90,1.10
AL,6,Lower,"42",4.30,1.10
AL,6,Lower,"54",2.60,0.70
AL,6,Lower,"57",2.50,0.70
AL,6,Lower,"11",1.80,0.40
AL,6,Lower,"16",1.80,0.40
AL,6,Lower,"60",1.60,0.50
AL,6,Lower,"81",1.30,0.50
AL,6,Lower,"59",1.10,0.30
AL,6,Lower,"56",0.90,0.20
AL,6,Lower,"72",0.90,0.30
AL,6,Lower,"14",0.80,0.20
AL,6,Lower,"55",0.80,0.20
AL,6,Lower,"13",0.70,0.20
AL,6,Lower,"33",0.60,0.10
AL,6,Lower,"52",0.50,0.20
AL,6,Lower,"35",0.30,0.10
AL,6,Lower,"58",0.20,0.00
AL,6,Lower,"27",0.10,0.00
AL,6,Upper,"16",20.10,1.70
AL,6,Upper,"14",19.70,1.70
AL,6,Upper,"17",17.40,1.50
AL,6,Upper,"15",16.90,1.40
AL,6,Upper,"20",6.40,0.60
AL,6,Upper,"19",5.60,0.50
AL,6,Upper,"11",3.80,0.30
AL,6,Upper,"18",3.20,0.30
AL,6,Upper,"30",3.10,0.30
AL,6,Upper,"5",2.70,0.20
AL,6,Upper,"9",1.10,0.10
AL,7,Lower,"70",7.20,2.10
AL,7,Lower,"62",6.70,1.90
AL,7,Lower,"71",6.70,2.00
AL,7,Lower,"58",6.50,1.80
AL,7,Lower,"52",6.10,1.70
AL,7,Lower,"67",6.10,1.70
AL,7,Lower,"55",5.80,1.60
AL,7,Lower,"56",5.80,1.60
AL,7,Lower,"59",5.50,1.50
AL,7,Lower,"72",5.40,1.60
AL,7,Lower,"60",5.00,1.40
AL,7,Lower,"57",4.10,1.10
AL,7,Lower,"63",4.10,1.10
AL,7,Lower,"54",4.00,1.10
AL,7,Lower,"69",4.00,1.20
AL,7,Lower,"76",3.50,1.10
AL,7,Lower,"65",3.10,0.90
AL,7,Lower,"61",3.00,0.80
AL,7,Lower,"68",2.40,0.70
AL,7,Lower,"78",1.80,0.60
AL,7,Lower,"15",1.60,0.30
AL,7,Lower,"77",1.30,0.40
AL,7,Lower,"16",0.50,0.10
AL,7,Upper,"24",20.30,1.80
AL,7,Upper,"18",16.60,1.40
AL,7,Upper,"19",14.20,1.20
AL,7,Upper,"21",13.80,1.20
AL,7,Upper,"20",13.40,1.10
AL,7,Upper,"23",12.30,1.10
AL,7,Upper,"26",7.40,0.70
AL,7,Upper,"22",1.30,0.10
AL,7,Upper,"14",0.60,0.00
AL,7,Upper,"17",0.10,0.00
AL,7,Upper,"25",0.10,0.00
AR,1,Lower,"59",4.50,1.30
AR,1,Lower,"58",4.40,1.30
AR,1,Lower,"43",4.30,1.10
AR,1,Lower,"53",4.30,1.30
AR,1,Lower,"57",4.30,1.30
AR,1,Lower,"52",4.20,1.20
AR,1,Lower,"63",4.10,1.20
AR,1,Lower,"62",4.00,1.20
AR,1,Lower,"64",4.00,1.20
AR,1,Lower,"100",4.00,1.90
AR,1,Lower,"54",3.90,1.20
AR,1,Lower,"56",3.90,1.20
AR,1,Lower,"60",3.90,1.10
AR,1,Lower,"61",3.90,1.20
AR,1,Lower,"13",3.80,0.80
AR,1,Lower,"50",3.80,1.10
AR,1,Lower,"12",3.70,0.80
AR,1,Lower,"14",3.70,0.80
AR,1,Lower,"48",3.70,1.00
AR,1,Lower,"49",3.70,1.00
AR,1,Lower,"51",3.70,1.00
AR,1,Lower,"55",3.60,1.10
AR,1,Lower,"11",3.20,0.70
AR,1,Lower,"47",3.00,0.80
AR,1,Lower,"44",2.00,0.50
AR,1,Lower,"66",1.80,0.60
AR,1,Lower,"10",0.90,0.20
AR,1,Lower,"83",0.70,0.30
AR,1,Lower,"99",0.70,0.30
AR,1,Lower,"16",0.20,0.00
AR,1,Upper,"21",12.80,1.10
AR,1,Upper,"20",12.00,1.10
AR,1,Upper,"19",11.60,1.00
AR,1,Upper,"24",11.30,1.10
AR,1,Upper,"22",10.70,1.00
AR,1,Upper,"23",8.60,0.80
AR,1,Upper,"18",8.00,0.70
AR,1,Upper,"29",7.60,0.70
AR,1,Upper,"28",6.20,0.60
AR,1,Upper,"17",4.90,0.40
AR,1,Upper,"26",3.50,0.30
AR,1,Upper,"25",2.90,0.30
AR,2,Lower,"23",4.30,1.00
AR,2,Lower,"27",4.30,1.00
AR,2,Lower,"28",4.20,0.90
AR,2,Lower,"31",4.20,1.00
AR,2,Lower,"70",4.20,1.40
AR,2,Lower,"29",4.10,0.90
AR,2,Lower,"40",4.10,1.00
AR,2,Lower,"67",4.10,1.30
AR,2,Lower,"72",4.10,1.40
AR,2,Lower,"36",4.00,1.00
AR,2,Lower,"38",4.00,1.00
AR,2,Lower,"30",3.90,0.90
AR,2,Lower,"34",3.90,1.00
AR,2,Lower,"35",3.90,1.00
AR,2,Lower,"37",3.90,1.00
AR,2,Lower,"39",3.90,1.00
AR,2,Lower,"41",3.90,1.00
AR,2,Lower,"42",3.90,1.10
AR,2,Lower,"45",3.90,1.00
AR,2,Lower,"46",3.90,1.10
AR,2,Lower,"32",3.80,0.90
AR,2,Lower,"33",3.80,0.90
AR,2,Lower,"65",3.70,1.20
AR,2,Lower,"66",2.10,0.70
AR,2,Lower,"44",2.00,0.60
AR,2,Lower,"68",1.10,0.40
AR,2,Lower,"47",0.90,0.30
AR,2,Lower,"22",0.80,0.20
AR,2,Lower,"14",0.40,0.10
AR,2,Lower,"73",0.30,0.10
AR,2,Lower,"13",0.10,0.00
AR,2,Lower,"21",0.00,0.00
AR,2,Upper,"33",12.40,1.50
AR,2,Upper,"34",11.60,1.60
AR,2,Upper,"35",11.60,1.70
AR,2,Upper,"31",11.30,1.20
AR,2,Upper,"32",11.10,1.30
AR,2,Upper,"15",11.00,1.00
AR,2,Upper,"30",10.90,1.10
AR,2,Upper,"28",5.30,0.50
AR,2,Upper,"29",4.20,0.40
AR,2,Upper,"13",3.10,0.30
AR,2,Upper,"18",2.90,0.30
AR,2,Upper,"23",2.10,0.20
AR,2,Upper,"14",1.80,0.20
AR,2,Upper,"16",0.70,0.10
AR,3,Lower,"87",4.30,2.00
AR,3,Lower,"90",4.30,2.00
AR,3,Lower,"91",4.30,2.00
AR,3,Lower,"92",4.30,2.00
AR,3,Lower,"93",4.30,2.00
AR,3,Lower,"94",4.30,2.00
AR,3,Lower,"95",4.30,2.00
AR,3,Lower,"96",4.30,2.00
AR,3,Lower,"84",4.20,1.90
AR,3,Lower,"88",4.20,1.90
AR,3,Lower,"80",4.10,1.50
AR,3,Lower,"85",4.10,1.90
AR,3,Lower,"86",4.10,1.90
AR,3,Lower,"89",4.10,1.90
AR,3,Lower,"71",3.80,1.30
AR,3,Lower,"76",3.70,1.30
AR,3,Lower,"77",3.70,1.30
AR,3,Lower,"78",3.70,1.30
AR,3,Lower,"79",3.70,1.30
AR,3,Lower,"98",3.70,1.70
AR,3,Lower,"97",3.20,1.40
AR,3,Lower,"99",3.00,1.40
AR,3,Lower,"68",2.70,0.90
AR,3,Lower,"81",2.70,1.20
AR,3,Lower,"83",2.50,1.10
AR,3,Lower,"75",2.10,0.70
AR,3,Lower,"21",1.20,0.30
AR,3,Lower,"73",0.60,0.20
AR,3,Lower,"69",0.40,0.20
AR,3,Lower,"74",0.10,0.00
AR,3,Lower,"64",0.00,0.00
AR,3,Upper,"3",12.30,1.20
AR,3,Upper,"2",12.20,1.20
AR,3,Upper,"1",12.10,1.20
AR,3,Upper,"7",11.80,1.20
AR,3,Upper,"4",11.70,1.10
AR,3,Upper,"8",10.50,1.00
AR,3,Upper,"16",9.60,0.90
AR,3,Upper,"9",7.80,0.80
AR,3,Upper,"17",6.10,0.60
AR,3,Upper,"5",5.60,0.50
AR,3,Upper,"18",0.20,0.00
AR,4,Lower,"18",4.20,0.90
AR,4,Lower,"25",4.20,0.90
AR,4,Lower,"26",4.20,0.90
AR,4,Lower,"1",4.10,0.90
AR,4,Lower,"2",4.10,0.90
AR,4,Lower,"15",4.10,0.90
AR,4,Lower,"24",4.10,0.90
AR,4,Lower,"3",4.00,0.90
AR,4,Lower,"4",4.00,0.80
AR,4,Lower,"6",4.00,0.80
AR,4,Lower,"9",4.00,0.90
AR,4,Lower,"82",4.00,1.60
AR,4,Lower,"8",3.90,0.80
AR,4,Lower,"19",3.90,0.80
AR,4,Lower,"20",3.90,0.80
AR,4,Lower,"74",3.90,1.20
AR,4,Lower,"5",3.80,0.80
AR,4,Lower,"7",3.80,0.80
AR,4,Lower,"17",3.70,0.80
AR,4,Lower,"69",3.70,1.10
AR,4,Lower,"16",3.60,0.70
AR,4,Lower,"22",3.30,0.70
AR,4,Lower,"73",3.00,0.90
AR,4,Lower,"10",2.80,0.60
AR,4,Lower,"21",2.70,0.60
AR,4,Lower,"75",1.80,0.60
AR,4,Lower,"81",1.30,0.60
AR,4,Lower,"97",0.70,0.30
AR,4,Lower,"83",0.60,0.20
AR,4,Lower,"11",0.50,0.10
AR,4,Upper,"6",11.60,1.00
AR,4,Upper,"11",11.50,1.00
AR,4,Upper,"10",11.40,1.00
AR,4,Upper,"12",11.20,1.00
AR,4,Upper,"27",11.00,1.00
AR,4,Upper,"14",10.00,0.90
AR,4,Upper,"13",9.00,0.80
AR,4,Upper,"26",7.60,0.70
AR,4,Upper,"25",7.50,0.70
AR,4,Upper,"5",5.70,0.50
AR,4,Upper,"9",3.00,0.30
AR,4,Upper,"16",0.60,0.00
AR,4,Upper,"8",0.00,0.00
AZ,1,Lower,"7",27.80,6.30
AZ,1,Lower,"11",26.90,6.00
AZ,1,Lower,"6",21.60,4.80
AZ,1,Lower,"8",17.50,3.90
AZ,1,Lower,"14",5.60,1.30
AZ,1,Lower,"27",0.40,0.10
AZ,1,Lower,"9",0.10,0.00
AZ,1,Lower,"1",0.00,0.00
AZ,1,Upper,"7",27.80,2.60
AZ,1,Upper,"11",26.90,2.50
AZ,1,Upper,"6",21.60,2.00
AZ,1,Upper,"8",17.50,1.60
AZ,1,Upper,"14",5.60,0.50
AZ,1,Upper,"27",0.40,0.00
AZ,1,Upper,"9",0.10,0.00
AZ,1,Upper,"1",0.00,0.00
AZ,2,Lower,"9",30.30,6.80
AZ,2,Lower,"10",30.10,6.50
AZ,2,Lower,"14",23.80,5.20
AZ,2,Lower,"2",10.30,2.30
AZ,2,Lower,"3",4.70,1.00
AZ,2,Lower,"11",0.80,0.20
AZ,2,Upper,"9",30.30,2.70
AZ,2,Upper,"10",30.10,2.70
AZ,2,Upper,"14",23.80,2.10
AZ,2,Upper,"2",10.30,0.90
AZ,2,Upper,"3",4.70,0.40
AZ,2,Upper,"11",0.80,0.10
AZ,3,Lower,"4",25.50,5.70
AZ,3,Lower,"3",23.70,5.50
AZ,3,Lower,"19",18.40,4.10
AZ,3,Lower,"2",17.80,4.20
AZ,3,Lower,"13",7.80,1.70
AZ,3,Lower,"29",4.00,0.90
AZ,3,Lower,"11",2.80,0.60
AZ,3,Upper,"4",25.50,2.40
AZ,3,Upper,"3",23.70,2.20
AZ,3,Upper,"19",18.40,1.70
AZ,3,Upper,"2",17.80,1.70
AZ,3,Upper,"13",7.80,0.70
AZ,3,Upper,"29",4.00,0.40
AZ,3,Upper,"11",2.80,0.30
AZ,4,Lower,"5",29.60,6.70
AZ,4,Lower,"1",21.00,5.00
AZ,4,Lower,"13",14.20,3.20
AZ,4,Lower,"8",13.10,3.00
AZ,4,Lower,"16",12.80,2.80
AZ,4,Lower,"6",8.20,1.80
AZ,4,Lower,"22",0.60,0.10
AZ,4,Lower,"12",0.30,0.10
AZ,4,Lower,"23",0.20,0.00
AZ,4,Upper,"5",29.60,2.70
AZ,4,Upper,"1",21.00,2.00
AZ,4,Upper,"13",14.20,1.30
AZ,4,Upper,"8",13.10,1.20
AZ,4,Upper,"16",12.80,1.20
AZ,4,Upper,"6",8.20,0.80
AZ,4,Upper,"22",0.60,0.10
AZ,4,Upper,"12",0.30,0.00
AZ,4,Upper,"23",0.20,0.00
AZ,5,Lower,"12",30.90,7.30
AZ,5,Lower,"25",27.00,6.20
AZ,5,Lower,"17",21.20,4.80
AZ,5,Lower,"16",18.80,4.30
AZ,5,Lower,"26",2.10,0.50
AZ,5,Upper,"12",30.90,3.00
AZ,5,Upper,"25",27.00,2.70
AZ,5,Upper,"17",21.20,2.00
AZ,5,Upper,"16",18.80,1.80
AZ,5,Upper,"26",2.10,0.20
AZ,6,Lower,"23",29.40,7.10
AZ,6,Lower,"15",24.40,5.70
AZ,6,Lower,"20",20.20,4.60
AZ,6,Lower,"28",17.90,4.10
AZ,6,Lower,"30",4.00,1.00
AZ,6,Lower,"1",2.20,0.50
AZ,6,Lower,"24",1.10,0.30
AZ,6,Lower,"26",0.90,0.20
AZ,6,Upper,"23",29.40,3.00
AZ,6,Upper,"15",24.40,2.30
AZ,6,Upper,"20",20.20,2.00
AZ,6,Upper,"28",17.90,1.80
AZ,6,Upper,"30",4.00,0.40
AZ,6,Upper,"1",2.20,0.20
AZ,6,Upper,"24",1.10,0.10
AZ,6,Upper,"26",0.90,0.10
AZ,7,Lower,"27",27.40,6.50
AZ,7,Lower,"29",24.00,5.70
AZ,7,Lower,"30",20.70,5.00
AZ,7,Lower,"24",15.20,3.50
AZ,7,Lower,"19",11.70,2.70
AZ,7,Lower,"26",1.20,0.30
AZ,7,Lower,"18",0.00,0.00
AZ,7,Upper,"27",27.40,2.80
AZ,7,Upper,"29",24.00,2.50
AZ,7,Upper,"30",20.70,2.20
AZ,7,Upper,"24",15.20,1.60
AZ,7,Upper,"19",11.70,1.10
AZ,7,Upper,"26",1.20,0.10
AZ,7,Upper,"18",0.00,0.00
AZ,8,Lower,"21",30.40,7.10
AZ,8,Lower,"22",29.80,6.90
AZ,8,Lower,"20",10.50,2.40
AZ,8,Lower,"13",8.10,1.90
AZ,8,Lower,"1",7.40,1.80
AZ,8,Lower,"15",5.90,1.40
AZ,8,Lower,"4",3.30,0.80
AZ,8,Lower,"30",2.60,0.60
AZ,8,Lower,"29",1.90,0.50
AZ,8,Upper,"21",30.40,3.00
AZ,8,Upper,"22",29.80,3.00
AZ,8,Upper,"20",10.50,1.00
AZ,8,Upper,"13",8.10,0.80
AZ,8,Upper,"1",7.40,0.70
AZ,8,Upper,"15",5.90,0.60
AZ,8,Upper,"4",3.30,0.30
AZ,8,Upper,"30",2.60,0.30
AZ,8,Upper,"29",1.90,0.20
AZ,9,Lower,"18",30.80,7.10
AZ,9,Lower,"26",25.90,6.00
AZ,9,Lower,"28",13.00,3.00
AZ,9,Lower,"24",12.80,3.00
AZ,9,Lower,"17",9.90,2.30
AZ,9,Lower,"25",4.10,0.90
AZ,9,Lower,"30",2.00,0.50
AZ,9,Lower,"27",0.90,0.20
AZ,9,Lower,"23",0.50,0.10
AZ,9,Upper,"18",30.80,3.00
AZ,9,Upper,"26",25.90,2.70
AZ,9,Upper,"28",13.00,1.30
AZ,9,Upper,"24",12.80,1.30
AZ,9,Upper,"17",9.90,1.00
AZ,9,Upper,"25",4.10,0.40
AZ,9,Upper,"30",2.00,0.20
AZ,9,Upper,"27",0.90,0.10
AZ,9,Upper,"23",0.50,0.00
CA,1,Lower,"1",60.60,13.40
CA,1,Lower,"3",38.40,8.30
CA,1,Lower,"6",0.80,0.20
CA,1,Lower,"5",0.30,0.10
CA,1,Upper,"1",58.50,5.20
CA,1,Upper,"4",41.50,3.60
CA,2,Lower,"2",50.80,11.40
CA,2,Lower,"10",49.20,10.40
CA,2,Upper,"2",91.50,8.10
CA,2,Upper,"3",8.50,0.80
CA,3,Lower,"11",34.80,7.60
CA,3,Lower,"4",32.50,7.10
CA,3,Lower,"3",28.10,6.40
CA,3,Lower,"7",3.90,0.90
CA,3,Lower,"9",0.60,0.10
CA,3,Lower,"14",0.00,0.00
CA,3,Upper,"3",61.90,5.70
CA,3,Upper,"4",33.60,3.10
CA,3,Upper,"2",4.50,0.40
CA,3,Upper,"5",0.00,0.00
CA,3,Upper,"6",0.00,0.00
CA,4,Lower,"6",48.10,10.40
CA,4,Lower,"5",44.50,9.80
CA,4,Lower,"1",5.20,1.20
CA,4,Lower,"23",2.10,0.50
CA,4,Upper,"1",53.90,4.90
CA,4,Upper,"8",27.10,2.40
CA,4,Upper,"4",19.00,1.70
CA,5,Lower,"4",33.60,7.30
CA,5,Lower,"14",26.80,5.90
CA,5,Lower,"10",17.60,3.80
CA,5,Lower,"2",14.40,3.30
CA,5,Lower,"15",7.70,1.70
CA,5,Upper,"3",56.00,5.10
CA,5,Upper,"2",35.10,3.20
CA,5,Upper,"9",9.00,0.80
CA,5,Upper,"7",0.00,0.00
CA,6,Lower,"7",62.20,14.10
CA,6,Lower,"9",23.60,5.50
CA,6,Lower,"8",14.20,3.20
CA,6,Upper,"6",86.90,8.00
CA,6,Upper,"4",13.10,1.20
CA,7,Lower,"8",51.80,11.60
CA,7,Lower,"9",28.70,6.70
CA,7,Lower,"6",19.50,4.30
CA,7,Upper,"6",46.30,4.30
CA,7,Upper,"4",27.00,2.50
CA,7,Upper,"1",20.60,1.90
CA,7,Upper,"8",6.00,0.50
CA,7,Upper,"5",0.10,0.00
CA,8,Lower,"33",67.00,15.20
CA,8,Lower,"42",17.80,4.80
CA,8,Lower,"40",8.20,2.00
CA,8,Lower,"36",2.70,0.60
CA,8,Lower,"26",2.50,0.50
CA,8,Lower,"5",1.90,0.40
CA,8,Lower,"41",0.00,0.00
CA,8,Lower,"47",0.00,0.00
CA,8,Upper,"21",47.50,4.30
CA,8,Upper,"23",26.80,2.50
CA,8,Upper,"16",21.30,1.90
CA,8,Upper,"8",4.40,0.40
CA,8,Upper,"20",0.00,0.00
CA,8,Upper,"25",0.00,0.00
CA,9,Lower,"13",52.80,11.70
CA,9,Lower,"11",25.80,5.80
CA,9,Lower,"9",13.70,3.20
CA,9,Lower,"12",7.70,1.70
CA,9,Lower,"14",0.00,0.00
CA,9,Upper,"5",74.20,6.80
CA,9,Upper,"7",25.80,2.40
CA,9,Upper,"3",0.00,0.00
CA,10,Lower,"12",58.00,12.80
CA,10,Lower,"21",29.10,6.40
CA,10,Lower,"13",12.90,2.80
CA,10,Upper,"5",59.40,5.40
CA,10,Upper,"8",20.50,1.90
CA,10,Upper,"12",20.10,1.80
CA,11,Lower,"14",40.10,9.10
CA,11,Lower,"16",27.10,6.00
CA,11,Lower,"15",26.30,5.90
CA,11,Lower,"11",6.40,1.40
CA,11,Upper,"7",66.50,6.20
CA,11,Upper,"9",26.40,2.50
CA,11,Upper,"3",7.10,0.70
CA,12,Lower,"17",66.50,14.60
CA,12,Lower,"19",33.50,7.50
CA,12,Upper,"11",100.00,9.30
CA,13,Lower,"18",66.80,14.90
CA,13,Lower,"15",33.00,7.40
CA,13,Lower,"20",0.20,0.00
CA,13,Upper,"9",98.70,9.30
CA,13,Upper,"10",1.30,0.10
CA,14,Lower,"22",59.10,13.00
CA,14,Lower,"19",33.20,7.30
CA,14,Lower,"24",7.70,1.70
CA,14,Upper,"13",67.40,6.10
CA,14,Upper,"11",32.60,3.00
CA,15,Lower,"20",60.90,13.60
CA,15,Lower,"16",39.10,8.70
CA,15,Lower,"18",0.00,0.00
CA,15,Lower,"25",0.00,0.00
CA,15,Upper,"10",60.60,5.70
CA,15,Upper,"7",39.40,3.70
CA,15,Upper,"9",0.00,0.00
CA,16,Lower,"21",36.50,7.90
CA,16,Lower,"31",31.10,7.40
CA,16,Lower,"5",17.10,3.80
CA,16,Lower,"23",15.40,3.50
CA,16,Upper,"12",54.20,4.90
