state_abbreviation,congressional_district,2018 Two-Party D Share,All Money
IN,9,0.43517675716112486,955559.0
KS,1,0.31854522792022794,4.2718e7
KS,1,0.31854522792022794,4170954.0
KS,3,0.549561686218899,6427435.0
KS,4,0.4056359268705731,1896785.0
KY,1,0.31411941868247445,1.00034753e8
KY,1,0.31411941868247445,603032.0
KY,2,0.31774111513764386,3139579.0
KY,3,0.6292537791162905,762875.0
KY,4,0.35716934535785577,2895722.0
KY,5,0.21052100393149925,1439411.0
LA,1,0.27083491116193825,1.0219411e7
LA,1,0.27083491116193825,2.8065161e7
LA,2,1.0,1471786.0
LA,3,0.3074912748584222,659081.0
LA,4,0.34360689720154525,1255434.0
LA,5,0.31053595884072993,1000124.0
LA,6,0.2913977718607204,2606878.0
MA,1,1.0,3.9026312e7
MA,1,1.0,1.1582498e7
MA,2,0.6719934813836607,1073246.0
MA,3,0.6495199159852975,1668302.0
MA,4,1.0,1.1721565e7
MA,5,0.7593820616588288,2541638.0
MA,6,0.675045968849709,2189140.0
MA,7,1.0,1826331.0
MA,8,1.0,3149294.0
MA,9,0.5940119205707051,1996567.0
MD,1,0.3883906717772309,1778733.0
MD,2,0.6825004183963785,2009365.0
MD,3,0.7097492469694685,1718561.0
MD,4,0.7972118386577886,1635540.0
MD,5,0.7219008836529274,4682920.0
MD,6,0.6082403976839009,2631428.0
MD,7,0.7824299817099813,4240255.0
MD,8,0.6927951267329505,2210898.0
MI,1,0.43683401654751775,7.590806e7
MI,1,0.43683401654751775,1695194.0
MI,4,0.37375898965093846,1229215.0
MI,5,0.6236640671501742,1901919.0
MI,7,0.46204161865383314,2604884.0
MI,8,0.5196866489109065,7631002.0
MI,9,0.6184436647757242,992555.0
MI,10,0.3671595082892245,7023105.0
MI,11,0.5344458318031583,5072257.0
MI,12,0.7020857323864292,1797885.0
MI,13,1.0,4526758.0
MI,14,0.8236234451433907,1371431.0
MN,3,0.5572137659913612,2416127.0
MN,4,0.6893093715433614,926559.0
MN,5,0.7824301534738399,1.6903951e7
MN,6,0.3880315799824274,2328157.0
MN,8,0.4711032344995586,2450596.0
MO,1,0.8273391856893333,1788661.0
MO,3,0.3353627073422437,3839592.0
MO,4,0.335428128036462,1762881.0
MO,5,0.6339246906783345,1564461.0
MO,6,0.3283174654402668,2068401.0
MO,7,0.31236319444687655,1786566.0
MO,8,0.25423820010530646,2685730.0
MS,1,0.32617545114670893,5180708.0
MS,1,0.32617545114670893,802215.0
MS,2,1.0,2225401.0
MS,3,0.3708061002178649,661778.0
MS,4,0.31066299340619635,1156394.0
NC,1,0.6984762079398551,8.1969525e7
NC,1,0.6984762079398551,2161655.0
NC,2,0.4719064490186276,2662733.0
NC,3,0.0,2497301.0
NC,4,0.7506919989426317,955234.0
NC,5,0.4296520855252599,3922250.0
NC,6,0.43483963989309327,3006259.0
NC,7,0.4352217023774793,2048221.0
NC,9,0.498369880433882,7227279.0
NC,10,0.407072616702848,3493271.0
NC,12,0.730728170295696,783948.0
NC,13,0.4691191918610508,2001199.0
ND,1,0.371420221143386,961724.0
NE,1,0.3964077161269438,6817802.0
NE,1,0.3964077161269438,3156793.0
NE,3,0.23278513295578143,1812468.0
NJ,1,0.6594025151120527,1.4884318e7
NJ,1,0.6594025151120527,2458645.0
NJ,4,0.43737902432797043,1827536.0
NJ,6,0.6363254142272655,4590861.0
NJ,8,0.8067036324239937,663433.0
NJ,9,0.7088169272117814,4030407.0
NJ,10,0.8966916354556804,477427.0
NJ,11,0.5740017374674224,5632836.0
NJ,12,0.6868112927191679,697348.0
NM,1,0.6194674638311828,1.2431842e7
NM,1,0.6194674638311828,2076264.0
NM,3,0.6700442088175869,7697489.0
NV,1,0.6819040525442666,753366.0
NV,2,0.4176923317694766,1383797.0
NV,3,0.5478387262189791,5688940.0
NV,4,0.5427528814917004,4373054.0
NY,2,0.4915028369050631,4187378.0
NY,4,0.6344389841074508,1094643.0
NY,5,1.0,1774250.0
NY,6,1.0,2259864.0
NY,7,1.0,818656.0
NY,8,1.0,4651464.0
NY,9,0.8994359335595334,2108116.0
NY,10,0.8279466661219571,3915252.0
NY,11,0.5462801060409499,8341293.0
NY,12,0.8711574920441465,3939011.0
NY,13,0.9472843273845065,1344737.0
NY,14,0.8517449042618901,2.1238476e7
NY,15,0.9639259557725581,6410369.0
NY,16,1.0,1.0461021e7
NY,17,1.0,1.5922863e7
NY,18,0.567402890715854,2893431.0
NY,19,0.5469530348627998,4794153.0
NY,20,0.6443200153361982,2023131.0
NY,21,0.44510001096141105,1.2081727e7
NY,22,0.5129927562509398,5122075.0
NY,25,0.6183285211076337,1349744.0
NY,26,0.7185337093053064,1878132.0
NY,27,0.5281469302312165,4710085.0
OH,2,0.41717969424605045,1768610.0
OH,3,0.7362690833890883,4207064.0
OH,4,0.34735921990637325,1.1207822e7
OH,5,0.36077603683966636,1936149.0
OH,6,0.3074912822157201,2262222.0
OH,7,0.41256383007293224,732660.0
OH,8,0.3342396403365335,1002712.0
OH,9,0.6779924877851041,1529089.0
OH,10,0.4298524638216104,1805703.0
OH,11,0.8224990423901941,5811152.0
OH,12,0.4785918653243423,1924441.0
OH,13,0.6099494768667701,1557616.0
OH,14,0.4475204810026093,2849894.0
OH,15,0.40498770513245325,2628389.0
OH,16,0.4326882653231457,1817547.0
OK,1,0.4070055417089635,5354983.0
OK,1,0.4070055417089635,1057140.0
OK,2,0.3164470098115558,1341183.0
OK,3,0.2612607608997501,1066203.0
OK,4,0.34352330466533226,2489004.0
OR,1,0.665042399696241,1.0622828e7
OR,1,0.665042399696241,1160680.0
OR,2,0.41173153487581293,7898190.0
OR,3,0.7855131951599916,2417400.0
OR,4,0.5779455256366234,4645584.0
OR,5,0.5681410880676744,4339391.0
PA,2,0.7901694210375182,1739433.0
PA,3,0.9338077968291899,717615.0
PA,4,0.6352243754335702,1263922.0
PA,5,0.6518866871886425,1201975.0
PA,6,0.5887591608465749,4233956.0
PA,7,0.5516669931439765,3287856.0
PA,8,0.546420541089432,4740768.0
PA,9,0.4025437176360941,805341.0
PA,11,0.41023978327281113,973272.0
PA,12,0.3396248851856712,1406040.0
PA,13,0.2950771126009808,828432.0
PA,14,0.4209465377892188,1376442.0
PA,15,0.32157637166833625,1454055.0
PA,17,0.5625731389309507,3686669.0
PA,18,1.0,1268948.0
RI,1,0.6685188810705607,5627905.0
RI,1,0.6685188810705607,2096991.0
RI,2,0.6363668382415835,1979993.0
SC,2,0.43018661287971605,2403309.0
SC,3,0.313567668230491,1282598.0
SC,4,0.38030217097435853,1162006.0
SC,5,0.4211306485466707,1524975.0
SC,6,0.7129630085645196,3215351.0
SC,7,0.40361972037033167,2230599.0
