NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
50,172010,0,0,0,0,0,0,0,0,0,0,5883,0,0,0,94693,0,0,71433,0,0,0,0,0,0,0,0,0,0
51,188014,0,0,0,0,0,0,0,0,15198,0,38270,0,0,0,8050,0,0,126494,0,0,0,0,0,0,0,0,0,0
52,179656,0,0,0,0,0,12,0,0,0,0,127329,52313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,178038,0,0,0,0,0,0,0,0,0,0,0,178038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,177912,0,0,0,0,0,0,0,0,0,0,0,47999,0,0,129912,0,0,0,0,0,0,0,0,0,0,0,0,0
55,165734,0,0,0,0,0,0,0,0,0,0,0,155982,0,2,9749,0,0,0,0,0,0,0,0,0,0,0,0,0
56,169775,0,0,0,0,0,0,0,0,0,0,0,169731,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,179652,0,0,0,0,0,0,0,0,0,0,0,45,177602,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,169531,0,0,0,0,0,0,0,0,0,0,0,0,169530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,170453,0,0,0,0,0,0,0,0,0,0,0,0,170453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,183728,0,0,0,0,0,0,0,0,0,0,0,0,57929,125798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,168270,0,0,0,0,0,0,0,0,0,0,0,0,167704,526,0,39,0,0,0,0,0,0,0,0,0,0,0,0
62,177055,0,0,0,0,0,0,0,0,0,0,0,0,18408,102898,11557,44190,0,0,0,0,0,0,0,0,0,0,0,0
63,165386,0,0,0,0,0,0,0,0,0,0,0,0,0,100163,65223,0,0,0,0,0,0,0,0,0,0,0,0,0
64,186052,0,0,0,0,0,0,0,0,0,0,0,0,0,185825,227,0,0,0,0,0,0,0,0,0,0,0,0,0
65,162989,0,0,0,0,0,0,0,0,0,0,0,0,0,162989,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,187895,0,0,0,0,0,0,0,0,0,0,0,3,2,58512,129377,0,0,0,0,0,0,0,0,0,0,0,0,0
67,164592,0,0,0,0,0,0,0,0,0,0,0,0,0,108,164471,12,0,0,0,0,0,0,0,0,0,0,0,0
68,173981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131335,42646,0,0,0,0,0,0,0,0,0,0,0,0
69,172687,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1791,170891,0,0,0,0,0,0,0,0,0,0,0,0
70,163517,0,0,0,0,0,0,0,0,0,0,0,0,0,20365,0,143151,0,0,0,0,0,0,0,0,0,0,0,0
71,186057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186057,0,0,0,0,0,0,0,0,0,0,0,0
72,164111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164102,8,0,0,0,0,0,0,0,0,0,0,0
73,177235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,177233,0,0,0,0,0,0,0,0,0,0,0
74,186179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,186173,0,0,0,0,0,0,0,0,0,0,0
75,180695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180695,0,0,0,0,0,0,0,0,0,0,0
76,184331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112806,34027,37497,0,0,0,0,0,0,0,0,0
77,182131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100488,2,81639,0,0,0,0,0,0,0,0,0
78,181765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9513,0,172251,0,0,0,0,0,0,0,0,0
79,181159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181159,0,0,0,0,0,0,0,0,0
80,170439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149532,0,0,0,0,0,0,20906,0,0
81,179967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128622,0,0,0,0,0,0,51345,0,0
82,185547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44511,2836,0,0,0,0,0,0,138155,0,0
83,178705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178704,0,0,0,0,0,0,0,0,0,0
84,183772,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,183762,0,0,0,0,0,0,0
85,171901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171901,0,0,0,0,0,0,0
86,172794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172794,0,0,0,0,0,0,0
87,205385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22428,110623,72332,0,0,0,0,0,0
88,164181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129094,21373,13713,0,0,0,0,0,0
89,171918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171917,0,0,0,0,0,0
90,180837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180830,6,0,0,0,0,0
91,175601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6634,168959,0,0,0,0,0
92,171672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506,0,140218,29947,0,0,0,0,0
93,186560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8413,0,178146,0,0,0,0,0,0
