NAME,TotalPopulation,1,2
1,108991,0,108991
2,104601,0,104601
3,108791,5799,102992
4,107714,107714,0
5,108972,108972,0
6,111322,111322,0
7,108595,108595,0
8,102581,102581,0
9,112278,112278,0
10,116947,116947,0
11,108786,38385,70401
12,110335,15600,94734
13,107864,0,107864
14,100321,0,100321
15,102507,0,102507
16,108154,0,108154
17,100287,100287,0
