NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14
92,56428,0,0,0,56424,0,0,0,0,0,1,0,0,1,0
93,55513,0,0,0,50627,0,0,0,0,0,4886,0,0,0,0
94,58503,0,0,0,32246,0,0,26256,0,0,0,0,0,0,0
95,54548,0,0,0,23027,0,0,31514,0,0,7,0,0,0,0
96,54933,0,0,0,3,0,0,54256,0,673,0,0,0,0,0
97,60153,0,0,0,9,0,2,60139,0,1,0,0,0,0,0
98,57773,0,0,0,27,0,0,57746,0,0,0,0,0,0,0
99,53630,0,0,0,0,0,5304,17088,0,31238,0,0,0,0,0
100,55667,0,0,0,0,0,38744,297,0,16625,0,0,0,0,0
101,58937,0,0,0,0,0,0,2171,0,56766,0,0,0,0,0
102,57343,0,0,0,0,0,0,53941,0,3402,0,0,0,0,0
103,55932,0,0,0,0,0,2613,0,0,53318,0,0,0,0,0
104,54990,0,0,0,0,0,0,1804,0,31109,22076,0,0,0,0
105,54242,0,0,0,0,0,0,18406,0,35834,1,0,0,0,0
106,56842,0,0,0,0,0,0,56842,0,0,0,0,0,0,0
107,58550,0,0,0,0,0,0,44729,0,13820,0,0,0,0,0
108,58406,0,0,0,80,0,0,58326,0,0,0,0,0,0,0
109,55036,0,0,0,0,0,0,55036,0,0,0,0,0,0,0
110,54868,0,0,0,0,0,0,54866,0,0,1,0,0,0,0
111,55556,0,0,0,0,0,0,18530,0,1905,35119,0,0,0,0
112,55037,0,0,0,0,0,0,0,0,0,55037,0,0,0,0
113,53017,0,0,0,41910,0,0,0,0,0,11107,0,0,0,0
114,60037,0,0,0,9207,0,0,0,0,0,50830,0,0,0,0
115,54818,0,0,2,10,0,0,0,0,0,40733,0,0,14072,0
116,53636,0,0,5729,0,0,0,0,0,0,5123,0,0,42783,0
117,51708,0,0,8523,1,0,0,0,0,0,42890,0,0,293,0
118,58265,0,0,1,0,0,0,0,6,0,58257,0,0,0,0
119,51254,0,0,0,0,0,0,0,0,0,51253,0,0,0,0
120,55190,0,0,0,0,0,0,0,0,0,55189,0,0,0,0
121,56438,0,0,0,0,0,0,0,0,0,56438,0,0,0,0
122,60024,0,0,0,0,0,0,0,0,0,60024,0,0,0,0
123,58368,0,0,0,0,0,0,0,0,1,39049,0,19317,0,0
124,54779,0,0,0,0,0,0,0,0,0,54777,0,1,0,0
125,60014,0,0,0,0,0,0,0,0,0,0,0,60014,0,0
126,56956,0,0,0,0,0,0,0,0,0,0,0,56956,0,0
127,55266,0,0,0,0,0,0,0,0,0,0,0,55266,0,0
128,60363,0,0,0,0,0,0,0,6000,0,8538,0,45824,0,0
129,56079,0,0,0,0,0,0,0,0,0,0,0,56079,0,0
130,59758,0,0,0,0,0,0,0,0,0,0,0,59758,0,0
131,51395,0,0,0,0,0,0,0,0,0,0,0,51395,0,0
132,57561,0,0,0,0,0,0,0,0,0,0,0,57561,0,0
133,58113,0,3,0,0,0,0,0,58104,0,5,0,0,0,0
134,56712,0,0,45585,0,0,0,0,11118,0,8,0,0,0,0
135,57467,0,0,57466,0,0,0,0,0,0,0,0,0,0,0
136,59761,0,0,59761,0,0,0,0,0,0,0,0,0,0,0
137,71272,0,45705,25566,0,0,0,0,0,0,0,0,0,0,0
138,56764,0,2459,54305,0,0,0,0,0,0,0,0,0,0,0
139,58481,0,25529,32952,0,0,0,0,0,0,0,0,0,0,0
140,51650,0,45152,6498,0,0,0,0,0,0,0,0,0,0,0
141,47925,0,47489,436,0,0,0,0,0,0,0,0,0,0,0
142,58972,0,42257,0,0,0,0,0,16714,0,0,0,0,0,0
143,57474,0,57431,0,0,0,0,0,42,0,0,0,0,0,0
144,54156,0,1938,0,0,0,0,0,52217,0,0,0,0,0,0
145,63913,0,60752,0,0,0,0,0,3161,0,0,0,0,0,0
146,50837,0,46,0,0,0,0,0,50790,0,0,0,0,0,0
147,58053,0,21295,0,0,0,0,0,36757,0,0,0,0,0,0
148,61014,0,3,0,0,0,0,0,61011,0,0,0,0,0,0
149,59901,0,1,0,0,0,0,0,59896,0,0,0,3,0,0
150,61623,0,61619,0,0,0,0,0,4,0,0,0,0,0,0
151,66646,0,66646,0,0,0,0,0,0,0,0,0,0,0,0
152,57689,0,37030,0,0,0,0,0,20658,0,0,0,0,0,0
153,61307,0,61307,0,0,0,0,0,0,0,0,0,0,0,0
154,61049,0,61049,0,0,0,0,0,0,0,0,0,0,0,0
155,57148,0,0,0,0,0,0,0,0,0,0,0,57147,0,0
156,65506,0,0,0,0,0,0,0,20328,0,0,0,45177,0,0
157,63500,13591,0,0,0,0,0,0,14988,0,0,0,34920,0,0
158,56426,0,0,0,0,0,0,0,0,0,0,0,56426,0,0
159,61680,15905,0,0,0,0,0,0,0,0,0,0,45775,0,0
160,52795,10242,0,0,0,0,0,0,0,0,0,0,42552,0,0
161,51075,50586,0,0,0,0,0,0,0,0,0,0,489,0,0
162,50070,50070,0,0,0,0,0,0,0,0,0,0,0,0,0
163,61521,61521,0,0,0,0,0,0,0,0,0,0,0,0,0
164,57387,57387,0,0,0,0,0,0,0,0,0,0,0,0,0
165,61287,61287,0,0,0,0,0,0,0,0,0,0,0,0,0
166,58254,58254,0,0,0,0,0,0,0,0,0,0,0,0,0
167,70516,70511,0,0,0,0,0,0,0,0,0,0,4,0,0
168,54129,54129,0,0,0,0,0,0,0,0,0,0,0,0,0
169,57775,0,0,0,0,0,0,0,57774,0,0,0,0,0,0
170,59144,0,0,0,0,0,0,0,59144,0,0,0,0,0,0
171,59218,0,59217,0,0,0,0,0,0,0,0,0,0,0,0
172,58919,0,3915,0,0,0,0,0,55003,0,0,0,0,0,0
173,55784,0,55783,0,0,0,0,0,0,0,0,0,0,0,0
174,62607,41823,0,0,0,0,0,0,20783,0,0,0,0,0,0
175,54713,0,0,0,0,0,0,0,54712,0,0,0,0,0,0
176,61891,25314,0,0,0,0,0,0,36576,0,0,0,0,0,0
177,58091,0,0,0,0,0,0,0,58091,0,0,0,0,0,0
178,60028,60027,0,0,0,0,0,0,0,0,0,0,0,0,0
179,55802,55802,0,0,0,0,0,0,0,0,0,0,0,0,0
180,55626,55626,0,0,0,0,0,0,0,0,0,0,0,0,0
