NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
38,181282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181282,0,0,0,0
39,186272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163299,0,0,0,0
40,182736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70115,0,0,0,0
41,183925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14090,0,0,0,0
42,188432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188432,0,0,0,0,0,0,0,0,0,0
43,199526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40795,0,0,0,0,0,0,0,0,0,0,0,128006,0,0,0,0,0,0,30724,0,0,0,0
44,183862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66059,0,0,0,0,0,2,0,0,0,0,0,20831,96947,0,0,0,0,0,0,20,0,0,0
45,184849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58649,0,0,0,0,0,12,0,0,0,0,0,0,0,126180,0,5,0
46,187797,0,0,0,0,0,0,0,0,0,25630,0,0,0,0,0,0,68988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75444,0,17733,0
47,196370,0,0,0,0,0,0,0,0,0,46370,0,0,0,0,0,0,0,0,0,0,23336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126663,0
48,201407,0,0,0,0,0,0,0,0,0,5640,0,0,0,0,0,0,0,0,0,0,4444,0,0,0,0,0,0,0,0,0,0,0,0,0,13479,0,177843,0
49,212017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,211459,0
