NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13
97,91917,0,0,0,0,0,0,0,60699,31218,0,0,0,0
98,92743,0,0,0,0,0,0,0,0,92743,0,0,0,0
99,91894,61339,24451,0,0,0,0,0,6102,0,0,0,0,0
100,94458,0,94458,0,0,0,0,0,0,0,0,0,0,0
101,89761,2092,87669,0,0,0,0,0,0,0,0,0,0,0
102,90730,0,90730,0,0,0,0,0,0,0,0,0,0,0
103,82242,82242,0,0,0,0,0,0,0,0,0,0,0,0
104,94702,81193,13508,0,0,0,0,0,0,0,0,0,0,0
105,91902,91900,1,0,0,0,0,0,0,0,0,0,0,0
106,90352,90352,0,0,0,0,0,0,0,0,0,0,0,0
107,90465,90465,0,0,0,0,0,0,0,0,0,0,0,0
108,91567,91567,0,0,0,0,0,0,0,0,0,0,0,0
109,92403,92403,0,0,0,0,0,0,0,0,0,0,0,0
110,88890,88890,0,0,0,0,0,0,0,0,0,0,0,0
