NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
87,115735,0,0,0,53536,62197,0,0,0,0,0,0,0,0,0,0
88,114051,0,0,0,0,55253,0,0,0,58798,0,0,0,0,0,0
89,119628,0,0,0,0,36640,0,0,0,82987,0,0,0,0,0,0
90,117572,0,117572,0,0,0,0,0,0,0,0,0,0,0,0,0
91,115705,0,88782,0,0,0,0,0,0,0,0,0,0,0,0,26923
92,115713,0,102064,0,0,0,0,0,0,0,0,0,13648,0,0,0
93,122335,0,122335,0,0,0,0,0,0,0,0,0,0,0,0,0
94,119029,0,22974,0,0,0,15555,0,0,0,0,0,80500,0,0,0
95,117835,0,0,0,0,0,105611,0,0,0,0,0,12223,0,0,0
96,115785,0,0,0,0,0,115785,0,0,0,0,0,0,0,0,0
97,112807,0,0,0,0,0,0,0,0,0,0,0,112807,0,0,0
98,117835,0,0,0,0,0,0,9118,0,0,0,0,108716,0,0,0
99,123357,0,0,0,0,0,0,0,0,0,0,3,0,0,123353,0
