NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
54,127836,0,0,0,0,0,0,109900,17936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,127023,0,0,0,0,0,0,817,95881,30324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,145473,0,0,0,0,0,0,18,130224,15230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,141842,0,0,0,0,0,0,62543,41855,32039,5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,125535,0,0,0,0,0,0,0,26425,99109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,127737,0,0,0,0,0,0,0,115206,12530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,130924,0,0,0,0,9,0,4517,126396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,132763,0,0,0,0,0,0,0,0,0,29163,103599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,139370,0,0,0,0,0,0,0,0,0,0,139369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,139714,0,0,0,0,0,0,0,0,0,0,139714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,141179,0,0,0,0,0,0,0,0,0,5297,135881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,124155,0,0,0,0,0,0,0,0,0,124154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,134714,0,0,0,0,0,0,0,0,0,129852,0,4861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,129388,0,0,0,0,0,0,0,0,0,0,0,129388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,138608,0,0,0,0,0,0,0,0,0,0,0,26067,112466,50,24,0,0,0,0,0,0,0,0,0,0,0
69,141563,0,0,0,0,0,0,0,0,0,0,0,89482,52081,0,0,0,0,0,0,0,0,0,0,0,0,0
70,144452,0,0,0,0,0,0,0,0,0,0,0,0,144449,0,2,0,0,0,0,0,0,0,0,0,0,0
71,151574,0,0,0,0,0,0,0,0,0,0,0,0,151499,0,75,0,0,0,0,0,0,0,0,0,0,0
72,149222,0,0,0,0,0,0,0,0,0,0,0,0,149181,0,40,0,0,0,0,0,0,0,0,0,0,0
73,128884,0,0,0,0,0,0,0,0,0,0,0,128884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,136388,0,0,0,0,0,0,212,0,0,37664,0,98512,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,125601,0,0,0,0,0,0,0,0,0,4806,0,120794,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,135861,0,0,0,0,0,0,0,0,0,0,0,135761,0,99,0,0,0,0,0,0,0,0,0,0,0,0
77,141443,0,0,0,0,0,0,0,0,0,0,0,0,11263,0,130179,0,0,0,0,0,0,0,0,0,0,0
78,137507,0,0,0,0,0,0,0,0,0,0,0,0,92406,0,45100,0,0,0,0,0,0,0,0,0,0,0
79,124076,0,0,0,0,0,0,0,0,0,0,0,0,0,5919,118156,0,0,0,0,0,0,0,0,0,0,0
80,131051,0,0,0,0,0,0,0,0,0,0,0,0,2228,17369,111453,0,0,0,0,0,0,0,0,0,0,0
81,133139,0,0,0,0,0,0,0,0,0,0,0,0,36355,0,79657,17125,0,0,0,0,0,0,0,0,0,0
82,132283,0,0,0,0,0,0,0,0,0,0,0,0,0,129727,2442,113,0,0,0,0,0,0,0,0,0,0
83,141262,0,0,0,0,0,0,0,0,0,0,0,0,0,9399,74684,57178,0,0,0,0,0,0,0,0,0,0
84,130960,0,0,0,0,0,0,0,0,0,0,0,0,45,13787,117127,0,0,0,0,0,0,0,0,0,0,0
85,139887,0,0,0,0,0,0,0,0,0,0,0,0,0,130374,9512,0,0,0,0,0,0,0,0,0,0,0
86,137510,0,0,0,0,0,0,0,0,0,0,0,0,68269,0,69240,0,0,0,0,0,0,0,0,0,0,0
87,119114,0,0,0,0,0,0,0,0,0,0,0,0,0,103481,15633,0,0,0,0,0,0,0,0,0,0,0
88,137563,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,137559,0,0,0,0,0,0,0,0,0,0
89,134369,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,134325,0,0,0,0,0,0,0,0,0,0
90,140655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140654,0,0,0,0,0,0,0,0,0,0
91,139150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139150,0,0,0,0,0,0,0,0,0,0
92,139369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87991,51378,0,0,0,0,0,0,0,0,0
93,143051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61688,81363,0,0,0,0,0,0,0,0,0
