NAME,TotalPopulation,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
53,313243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148593,0,0,106374,58276,0,0,0
54,320173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20402,670,258262,40838,0
55,313574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120760,0,5327,187485,1,0,0,0
56,312458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,312453,0
57,314141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314140,0
58,329962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306406,23555,0,0
59,331978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52009,263094,16874,0,0
60,315974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58096,1,0,257876
61,318180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75146,110881,0,132152
62,323963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174724,91199,58039
63,297240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,297231
