StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"AL",1,1,696783,125333,104188,122114,116821,72881,34738,75174,45534
"AL",1,2,678622,120517,97477,116407,109379,81135,31927,80623,41157
"AL",1,3,706574,141495,101839,135726,113567,71104,31448,71267,40128
"AL",1,4,683372,163269,128870,159289,145044,30962,12608,26814,16516
"AL",1,5,706373,149150,118837,142622,131599,52036,23305,60146,28678
"AL",1,6,696788,149512,117029,151507,134695,52821,19859,51064,20301
"AL",1,7,680865,65198,45603,61739,51447,137001,67827,154887,97163
"AK",2,0,736732,156193,101403,134744,91244,96881,31105,90622,34540
"AZ",4,1,739373,134773,112637,125664,113079,90016,34573,88850,39781
"AZ",4,2,713036,151058,134606,141605,152964,51952,16696,44817,19338
"AZ",4,3,757119,189393,93633,180834,98403,74057,22951,71018,26830
"AZ",4,4,734258,153388,173048,138269,185696,33868,10888,26691,12410
"AZ",4,5,781441,200730,130250,193823,146054,38220,13734,42866,15764
"AZ",4,6,737185,165297,141349,164236,162562,38914,11665,38810,14352
"AZ",4,7,763089,169850,72102,169639,69021,108513,30614,108504,34846
"AZ",4,8,760904,157289,143859,168268,170777,41409,16178,44349,18775
"AZ",4,9,745079,187906,108870,157890,114513,72444,16216,65006,22234
"AR",5,1,723492,158469,124334,150292,137421,51061,22241,52548,27126
"AR",5,2,756326,158292,112455,155033,126569,69966,25663,75810,32538
"AR",5,3,767904,202592,122537,197577,138647,39632,14831,38549,13539
"AR",5,4,718647,144553,123172,136206,134323,59061,27919,61190,32223
"CA",6,1,710428,156131,146115,145730,161699,39533,14701,32119,14400
"CA",6,2,720049,140995,143703,130293,159236,51958,20928,50776,22160
"CA",6,3,720104,138957,93114,134015,104526,88728,38874,81894,39996
"CA",6,4,719688,158689,152451,144540,164783,34047,15609,31606,17963
"CA",6,5,722814,120322,106068,118745,123217,85190,37835,86221,45216
"CA",6,6,737671,118021,70588,111446,79030,125760,46382,129558,56886
"CA",6,7,736555,134942,103145,128054,120626,83304,38032,87255,41197
"CA",6,8,715953,167814,102361,158364,112663,60395,23738,63540,27078
"CA",6,9,738320,115201,83302,113868,90750,120505,47958,114417,52319
"CA",6,10,732084,167019,96781,166825,107037,73287,25351,67153,28631
"CA",6,11,739693,125511,101418,114739,117057,86434,45913,95708,52913
"CA",6,12,736123,121857,76982,104837,63624,105172,72323,109903,81425
"CA",6,13,743310,100812,65373,97066,68411,127483,64081,140309,79775
"CA",6,14,753002,92975,78545,90183,86236,130885,68210,124036,81932
"CA",6,15,753911,100314,79092,94117,86623,133080,62604,128299,69782
"CA",6,16,718849,132040,67593,135392,74058,118809,39792,109959,41206
"CA",6,17,756995,72166,55130,67544,55854,175361,75302,171747,83891
"CA",6,18,734378,128327,114156,117741,118647,88663,37401,86152,43291
"CA",6,19,746211,106346,71181,98734,75767,134619,64232,125609,69723
"CA",6,20,732074,184014,101977,172005,111212,58838,24883,51832,27313
"CA",6,21,712295,187131,75313,172040,73084,81529,29702,68743,24753
"CA",6,22,739418,175051,93410,165542,104099,72534,26432,73140,29210
"CA",6,23,747914,181750,100978,174355,109838,70583,22487,61005,26918
"CA",6,24,726519,175578,118851,161796,132981,52493,17483,48457,18880
"CA",6,25,718796,131150,90765,135813,97062,89668,38471,93230,42637
"CA",6,26,725795,175390,114640,168639,125071,46792,22553,46603,26107
"CA",6,27,714911,78279,65765,66634,72543,123824,80538,128733,98595
"CA",6,28,721435,144543,100226,127877,109632,79262,36198,76829,46868
"CA",6,29,718633,133404,68096,125038,72213,112457,49428,105108,52889
"CA",6,30,754331,140333,111100,129707,121887,87508,35740,84123,43933
"CA",6,31,738321,151965,72562,149152,82380,97819,39791,98744,45908
"CA",6,32,735945,97377,65622,99047,71701,134686,65497,126630,75385
"CA",6,33,714411,136670,124294,139999,132162,58750,27231,60175,35130
"CA",6,34,720406,112552,47241,96893,50903,136753,67878,130880,77306
"CA",6,35,732845,117103,59118,113318,61704,142189,52539,132767,54107
"CA",6,36,746522,127321,125703,125614,130687,87544,31572,83307,34774
"CA",6,37,723724,105562,55894,99017,63030,123115,63270,130022,83814
"CA",6,38,720208,103372,70109,101166,81743,120638,58186,118340,66654
"CA",6,39,716854,110685,79147,106285,85537,104813,57444,107207,65736
"CA",6,40,713940,137568,54618,132791,62070,116210,44615,115664,50404
"CA",6,41,739287,130030,63719,122877,74952,129823,43921,126418,47547
"CA",6,42,754191,156194,96962,151151,103268,85370,35455,87903,37888
"CA",6,43,731916,87759,49386,86067,52269,144824,68257,153571,89783
"CA",6,44,726147,115047,51655,108233,54205,139547,53669,137893,65898
"CA",6,45,763368,132182,105064,126536,122100,98163,36222,97223,45878
"CA",6,46,730783,158614,67584,146431,69209,102550,42223,98442,45730
"CA",6,47,718747,118428,85334,117396,88442,99987,49299,101996,57865
"CA",6,48,726491,124858,110515,117512,120902,81016,43562,78044,50082
"CA",6,49,728456,177609,118034,161874,125149,51993,20640,49060,24097
"CA",6,50,737332,169075,119517,154132,129369,59061,22668,57392,26118
"CA",6,51,720935,163944,72657,147315,80219,92961,35425,86351,42063
"CA",6,52,759602,160831,103820,144476,114455,84589,33927,80050,37454
"CA",6,53,753810,148270,94385,148360,101564,89386,38260,87520,46065
"CO",8,1,788694,210434,105263,199489,115094,54347,24655,53469,25943
"CO",8,2,765721,211865,142464,190282,150869,28081,7422,27067,7671
"CO",8,3,729368,180769,141700,171820,148739,31395,11648,30699,12598
"CO",8,4,768242,207936,135063,199205,141231,33230,10976,29236,11365
"CO",8,5,759664,187185,123593,170379,132628,60367,15805,51560,18147
"CO",8,6,772966,175430,108883,169488,121266,74691,23189,73016,27003
"CO",8,7,771211,211218,127896,196206,143986,33930,13164,32080,12731
"CT",9,1,711205,125761,116666,123013,137347,70831,29654,71189,36744
"CT",9,2,710798,159513,141828,152585,158429,39003,13460,33262,12718
"CT",9,3,720986,142927,117163,136430,142875,61766,22564,68374,28887
"CT",9,4,740215,142578,119982,141387,132595,72617,25946,71709,33401
"CT",9,5,713473,144317,135394,144587,148572,53424,18722,49428,19029
"DE",10,0,935614,168503,147377,165981,165672,97125,41000,97247,52709
"DC",11,98,658893,94764,37906,95967,36440,116934,63029,131105,82748
"FL",12,1,743897,164718,125718,146593,134682,64770,21707,56418,29291
"FL",12,2,711296,141031,107729,132154,112256,80546,30926,72964,33690
"FL",12,3,716034,158507,126376,149753,138581,52669,20644,48041,21463
"FL",12,4,714880,155670,116746,151196,130819,57208,21973,57628,23640
"FL",12,5,742217,84064,60608,80707,63357,144594,62332,162237,84318
"FL",12,6,736069,142449,165539,135094,184683,35819,16695,35946,19844
"FL",12,7,735643,166726,121326,162789,138104,56648,16799,50451,22800
"FL",12,8,715672,129878,160986,125491,179794,40032,17606,38267,23618
"FL",12,9,769993,181520,96558,179475,111635,71110,28351,67555,33789
"FL",12,10,758350,153158,136924,151027,150332,55553,25962,59654,25740
"FL",12,11,728133,120358,185284,116300,207751,31445,15510,31144,20341
"FL",12,12,729937,155649,153616,155318,177818,27935,14658,29772,15171
"FL",12,13,707503,132218,165193,128296,184789,31837,14545,33360,17265
"FL",12,14,757963,139469,91785,136757,106765,96652,38331,98938,49266
"FL",12,15,724176,147187,116173,146188,129013,68307,21289,67731,28288
"FL",12,16,744076,131778,184744,128112,214011,28277,12197,29238,15719
"FL",12,17,725251,137605,166882,126553,177459,43068,16997,37981,18706
"FL",12,18,731704,126924,158323,126657,179322,45285,21419,46903,26871
"FL",12,19,753542,132359,182791,129140,208154,33423,13998,37826,15851
"FL",12,20,745656,86538,72552,74520,74008,138480,64645,151511,83402
"FL",12,21,742664,136270,142391,130820,170230,56755,22137,52931,31130
"FL",12,22,731165,141071,154702,126270,163547,51415,21064,48954,24142
"FL",12,23,730033,148754,126724,145830,144005,55137,24669,57281,27633
"FL",12,24,741950,79157,51621,77289,58222,148883,75104,160043,91631
"FL",12,25,745358,181722,128326,175711,151384,38547,17254,34958,17456
"FL",12,26,749692,184479,133262,176355,152895,31291,18784,31896,20730
"FL",12,27,760443,189403,133516,185271,155521,32242,13647,31455,19388
"GA",13,1,729328,136804,90812,126003,100898,95456,36656,96719,45980
"GA",13,2,685342,87022,62141,74391,70709,127840,59977,130155,73107
"GA",13,3,725530,145652,106436,135955,115685,74122,27478,84600,35602
"GA",13,4,728367,63792,49575,57252,57647,167538,69620,170663,92280
"GA",13,5,738016,88152,40513,78924,36984,151295,74542,174748,92858
"GA",13,6,732089,152509,105625,143054,117205,79552,24494,79528,30122
"GA",13,7,752996,132911,85030,132488,92124,110770,40080,111589,48004
"GA",13,8,705698,131431,93469,125989,105212,85144,34425,85806,44222
"GA",13,9,717371,170072,135178,167444,147792,35717,11887,34844,14437
"GA",13,10,713570,142553,97521,139930,109438,70188,33498,80012,40430
"GA",13,11,725169,156027,106568,151343,116294,71561,20452,77485,25439
"GA",13,12,701628,124109,82334,113777,91805,98194,41495,99306,50608
"GA",13,13,741383,67606,54345,70239,61117,167113,61178,178432,81353
"GA",13,14,700856,174130,116840,175164,129897,40412,12098,37531,14784
"HI",15,1,707541,49768,27786,31556,22021,167213,112155,161935,135107
"HI",15,2,712020,66511,56194,52111,54764,154443,83243,148496,96258
"ID",16,1,834295,228391,158280,223064,168255,20450,6590,20809,8456
"ID",16,2,800169,229125,132404,218972,139616,33223,8587,29044,9198
"IL",17,1,717741,84875,60657,78754,70309,122331,70863,133160,96792
"IL",17,2,707817,71680,62993,71418,69682,129553,67649,140466,94376
"IL",17,3,730269,158082,115949,154779,131548,62596,20728,63984,22603
"IL",17,4,725616,147439,68911,138576,69340,112718,37775,108634,42223
"IL",17,5,717666,182726,105544,186572,110488,47834,16616,47478,20408
"IL",17,6,734700,165949,137236,156318,153727,42918,17376,41683,19493
"IL",17,7,727478,80164,45074,74394,43677,156616,67148,167060,93345
"IL",17,8,725320,146107,97478,133557,116275,89224,29869,81260,31550
"IL",17,9,710295,143591,107577,136787,126907,60821,33276,65307,36029
"IL",17,10,711698,160485,110201,153674,125123,57025,25286,52887,27017
"IL",17,11,712657,133373,87507,136229,95790,94786,30594,100184,34194
"IL",17,12,701698,152319,120949,146921,133711,51524,20150,50438,25686
"IL",17,13,715374,167499,116392,162563,134998,49896,14395,52966,16665
"IL",17,14,725522,182301,132224,177283,143048,33216,13397,30208,13845
"IL",17,15,705504,182075,144797,171792,158756,20456,7328,15195,5105
"IL",17,16,699582,171193,139808,168768,153582,24380,8744,24771,8336
"IL",17,17,701014,151643,128653,147837,144717,51074,14938,45075,17077
"IL",17,18,710629,178057,143879,168435,158723,25808,6310,23101,6316
"IN",18,1,718064,136424,110490,131921,123244,74745,29472,74890,36878
"IN",18,2,721627,180468,128402,173004,142690,36337,10201,37963,12562
"IN",18,3,734384,187812,128367,180793,142374,35704,10906,35563,12865
"IN",18,4,742958,198202,133291,188273,147518,31501,8595,29838,5740
"IN",18,5,743454,185590,124570,184951,142589,36189,13873,39431,16261
"IN",18,6,720106,188112,142526,182661,158361,19408,5438,16964,6636
"IN",18,7,756223,140000,85308,140484,94348,104352,36636,107881,47214
"IN",18,8,723064,191033,140020,179457,155982,22066,6991,20345,7170
"IN",18,9,736975,196498,136505,193395,151727,22596,5351,24237,6666
"IA",19,1,770612,192911,153236,192079,166670,28307,6456,25342,5611
"IA",19,2,776785,199821,147992,191558,162497,32233,8289,25442,8953
"IA",19,3,801039,215684,139827,210034,156542,30129,9321,30302,9200
"IA",19,4,758690,199622,153291,186128,169866,22481,5201,18266,3835
"KS",20,1,718346,194297,122481,175213,136666,35129,12020,32360,10180
"KS",20,2,715446,180611,129237,173653,142552,35775,10640,31378,11600
"KS",20,3,749250,183351,115352,181112,131037,50841,17403,49339,20815
"KS",20,4,720979,176611,119454,173246,131265,44794,16949,41815,16845
"KY",21,1,724041,181654,137245,172023,154655,30387,10189,25517,12371
"KY",21,2,742858,190909,134857,188924,149585,29497,9488,28087,11511
"KY",21,3,736532,148190,110457,142908,129651,68212,28126,72874,36114
"KY",21,4,748191,201668,140524,195496,154582,20342,8016,20512,7051
"KY",21,5,712274,196009,146302,183725,162393,9287,4492,6692,3374
"KY",21,6,749561,189516,122347,185164,139477,40603,15841,40441,16172
"LA",22,1,796858,178001,130871,172873,148352,57503,20523,63165,25570
"LA",22,2,775807,72494,53746,67721,55080,165205,82683,173680,105198
"LA",22,3,777665,161011,109364,159757,120672,77293,31951,80275,37342
"LA",22,4,756663,136245,94964,126511,105706,99229,43336,95039,55633
"LA",22,5,750819,129711,99548,122781,110381,100834,43304,93847,50413
"LA",22,6,791864,166313,110726,163759,122555,78867,28394,85660,35590
"ME",23,1,673835,161569,148328,158628,167946,12693,4357,15071,5243
"ME",23,2,656254,154240,151650,152360,165557,10732,4053,13852,3810
"MD",24,1,728405,156206,139282,151827,155933,42755,19535,39490,23377
"MD",24,2,743321,113559,88125,111976,99854,112640,43223,116513,57431
"MD",24,3,768378,132261,99673,135046,117532,91656,38080,103529,50601
"MD",24,4,742761,78336,50690,68465,56426,152239,74901,157425,104279
"MD",24,5,753079,111664,84368,106359,87224,114016,62695,111955,74798
"MD",24,6,755369,142112,112013,134965,124284,86321,35978,81743,37953
"MD",24,7,738431,73530,59801,68355,63141,142994,78375,152610,99625
"MD",24,8,746663,129954,113350,134584,131687,80275,35426,76835,44552
"MA",25,1,733426,157995,136975,160536,159348,41362,14907,44737,17566
"MA",25,2,736475,170233,136053,165912,152349,43418,13104,42324,13082
"MA",25,3,755778,153560,129107,154479,142310,68435,21845,61477,24565
"MA",25,4,748190,173591,142982,177857,159482,31461,13311,35716,13790
"MA",25,5,755944,162032,122146,159987,148419,61403,19405,60577,21975
"MA",25,6,757309,159927,152862,159946,175569,40577,13323,40704,14401
"MA",25,7,769929,138601,57634,136986,61889,128539,49018,132217,65045
"MA",25,8,751768,157681,125737,152538,150794,56805,21994,60389,25830
"MA",25,9,736589,157115,156992,150100,187696,27324,12225,32586,12551
"MI",26,1,703687,158689,167789,147302,176147,23181,8752,14329,7498
"MI",26,2,724843,174894,127369,171881,141636,40710,11687,43861,12805
"MI",26,3,725487,178334,125120,171184,135265,44007,14494,40898,16185
"MI",26,4,702630,180562,148199,173255,159410,17994,4861,13952,4397
"MI",26,5,687292,138673,120556,136005,136703,49860,22341,53998,29156
"MI",26,6,712100,165661,130875,163809,143917,39238,12909,39634,16057
"MI",26,7,702894,174331,146170,164470,157811,22832,9300,20026,7954
"MI",26,8,725201,176512,127321,173249,142561,38368,13302,39904,13984
"MI",26,9,720485,154740,128783,143167,146717,50246,17393,55243,24196
"MI",26,10,706525,173040,152174,168302,164401,18737,6900,15195,7776
