StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"CA",6,44,717097,98082,50471,91824,53239,140139,58797,150699,73846
"CA",6,45,777871,125103,106938,124630,115887,97837,45898,105622,55956
"CA",6,46,734649,129998,62734,118714,67447,126647,51891,121436,55782
"CA",6,47,723526,111751,79825,109560,87033,103486,57501,109456,64914
"CA",6,48,721632,121682,117863,118377,130442,69794,43660,71029,48785
"CA",6,49,747350,163275,126624,140040,139286,65674,26081,55072,31298
"CA",6,50,754388,162687,122019,161282,131263,64959,23544,60802,27832
"CA",6,51,746496,169833,76264,157426,83883,95957,40663,74040,48430
"CA",6,52,768240,155451,102064,140611,112157,91375,37859,86041,42682
"CA",6,53,774182,150566,92979,141232,98689,97532,39252,106126,47806
"CO",8,1,826995,213502,111719,198943,120004,62251,27274,64175,29127
"CO",8,2,799734,214342,155850,196120,162968,26032,7419,27220,9783
"CO",8,3,749478,185458,147584,173438,156894,28603,13773,29421,14307
"CO",8,4,817251,222299,146319,212902,152280,33775,11042,27430,11204
"CO",8,5,799622,198909,129238,180358,138794,62815,17654,52470,19384
"CO",8,6,814636,181979,117797,170004,131051,78283,27345,77232,30945
"CO",8,7,799438,220213,127803,210168,143559,35419,15472,30651,16153
"CT",9,1,710509,120344,113480,116994,135490,78803,31801,74998,38599
"CT",9,2,705217,154324,144955,146422,159500,37564,14126,32612,15714
"CT",9,3,716547,131949,121752,130277,138036,66272,26031,72049,30181
"CT",9,4,737616,143798,122360,138168,137977,65194,27136,68319,34664
"CT",9,5,718295,140940,135515,136457,154275,53559,20744,50808,25997
"DE",10,0,961939,167521,154636,165122,174805,98140,45213,99487,57015
"DC",11,98,693972,99227,42035,103903,39371,124297,63519,136413,85207
"FL",12,1,770361,164354,132708,149954,141469,65638,25728,59462,31048
"FL",12,2,731845,156043,142566,142696,150279,51771,23475,41728,23287
"FL",12,3,739130,156104,119895,150588,131994,62845,26220,60708,30776
"FL",12,4,800494,176637,144109,169405,159952,50359,22102,53016,24914
"FL",12,5,729175,97991,65078,90995,70660,136948,54118,140588,72797
"FL",12,6,764500,137954,170617,130816,193510,42851,21582,43488,23682
"FL",12,7,772969,170856,117234,168278,135833,65596,22673,63907,28592
"FL",12,8,756993,136258,170520,131086,192218,40095,20449,39822,26545
"FL",12,9,868945,179396,128578,178029,146873,82139,36387,77435,40108
"FL",12,10,830014,135327,86573,131259,95353,129114,55539,134616,62233
"FL",12,11,770114,117345,204674,119642,233326,29764,16881,28831,19651
"FL",12,12,779151,157990,172964,154978,198871,30961,15676,29013,18698
"FL",12,13,730650,121171,155570,119144,174688,49598,24219,56863,29397
"FL",12,14,776940,161721,112387,157519,123605,72261,34266,77149,38032
"FL",12,15,804652,159731,125288,165044,140994,80936,24301,76209,32149
"FL",12,16,814209,155147,180055,142781,207125,41939,18790,47023,21349
"FL",12,17,778091,133984,197654,130203,212535,34998,17301,33438,17978
"FL",12,18,772184,134576,166191,130931,188684,49375,24514,47587,30326
"FL",12,19,814074,136935,201390,131382,226523,40853,15947,41701,19343
"FL",12,20,776092,89876,64594,75418,69663,151196,73483,160487,91375
"FL",12,21,788240,129814,158523,127854,181808,67295,27353,60928,34665
"FL",12,22,757352,130374,158942,130313,160150,58500,27556,58497,33020
"FL",12,23,753950,136639,125386,135312,146378,67874,30685,72744,38932
"FL",12,24,770480,102630,67842,93965,72228,135356,69237,139558,89664
"FL",12,25,780826,185802,160879,180702,178559,22233,13718,23279,15654
"FL",12,26,797160,192737,127627,180943,150688,48128,23525,45067,28445
"FL",12,27,755809,175703,136868,168669,168636,33349,18763,31710,22111
"GA",13,1,747334,140280,95566,132127,105810,91932,39092,93876,48651
"GA",13,2,674100,80424,63099,70307,71549,123862,59290,131637,73932
"GA",13,3,738066,142433,110769,137530,120812,72637,35170,74940,43775
"GA",13,4,765854,53662,46972,50309,52221,177335,81797,192131,111427
"GA",13,5,784370,84568,42799,83955,39432,172229,78211,179366,103810
"GA",13,6,756389,137333,114960,134074,125852,85689,30760,93204,34517
"GA",13,7,807492,128240,86701,126407,97636,132381,50379,129934,55814
"GA",13,8,702262,121594,94226,118223,104371,92673,38487,86123,46565
"GA",13,9,755181,178448,148581,174061,161860,29975,15636,28458,18162
"GA",13,10,736838,145762,104911,144491,111898,73679,34992,78055,43050
"GA",13,11,768968,170138,115224,161678,126642,67591,24820,71788,31087
"GA",13,12,722937,122242,84677,115134,95993,104404,44591,99238,56658
"GA",13,13,752631,64158,51246,61423,57630,166847,71471,183636,96220
"GA",13,14,716957,175597,122881,176055,137985,34203,13097,40379,16760
