StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMalePct,OldWhiteMalePct,YoungWhiteFemalePct,OldWhiteFemalePct,YoungNonWhiteMalePct,OldNonWhiteMalePct,YoungNonWhiteFemalePct,OldNonWhiteFemalePct
"ID",16,2,826891,0.2888869270556821,0.16620570304913224,0.27356930961880105,0.17455021278499827,3.6617885549606904e-2,1.326656113078991e-2,3.5580263904190515e-2,1.1323136906799083e-2
"IL",17,1,720977,0.11341970686998336,8.924556539251599e-2,0.11660843549794238,9.871882182094574e-2,0.16015906193956256,0.10135968276380522,0.17816518418756772,0.14232354152767704
"IL",17,2,702756,9.26808166703664e-2,8.536675602911965e-2,9.326281098987416e-2,9.19579484202198e-2,0.19195282573183295,9.741645749022419e-2,0.20449202852768245,0.14287035614068042
"IL",17,3,725538,0.2140701107316226,0.15853063519760507,0.20238085393184096,0.17782114789301182,9.693909898585601e-2,3.2038294341578254e-2,8.093718040957193e-2,3.728267850891338e-2
"IL",17,4,700585,0.1867096783402442,9.563008057551903e-2,0.18188513884824825,9.956250847506012e-2,0.1565006387519002,6.276468950948136e-2,0.15235553144871786,6.459173405082895e-2
"IL",17,5,729300,0.2489455642396819,0.14844645550527905,0.24763746057863703,0.15467023172905525,7.06266282736871e-2,2.8816673522555875e-2,6.890305772658714e-2,3.195392842451666e-2
"IL",17,6,720542,0.21700331139614343,0.1800089377163302,0.20802118405311557,0.20032558823774324,6.530778219729037e-2,2.9239100565962843e-2,6.545073014480766e-2,3.464336568860663e-2
"IL",17,7,697263,0.12634400505978374,6.789403711368594e-2,0.12175032950264104,7.018728944458548e-2,0.1906110033086511,9.408788362497365e-2,0.2014132400543267,0.12771221189135232
"IL",17,8,713012,0.1914540007741805,0.13804816749227222,0.16122028801759297,0.16529174824547133,0.12304982244338104,4.701042899698743e-2,0.1243359158050636,4.958962822505091e-2
"IL",17,9,732614,0.19606368428667756,0.15727654672173888,0.1846606807950708,0.1814871132683787,8.685610703590158e-2,4.948990873775277e-2,9.298621101971843e-2,5.1179748134761276e-2
"IL",17,10,714681,0.19112023406246983,0.1526583188863283,0.1764871320211395,0.17266024981775083,0.10853233820403788,4.5365694624594756e-2,0.10429968055677988,4.887635182689899e-2
"IL",17,11,721823,0.19331470457439012,0.12987810030990976,0.1870860307859406,0.14527938289580686,0.12446403065571476,4.91076067124489e-2,0.11344332336320676,5.742682070258221e-2
"IL",17,12,695178,0.21158178193210947,0.17361596598281304,0.19755659701544065,0.1919911159444056,7.955372580835414e-2,3.235574198262891e-2,7.492038010408845e-2,3.8424691230159756e-2
"IL",17,13,698295,0.23230010239225543,0.16920499215947415,0.21656463242612364,0.19271224912107343,7.325843662062595e-2,2.1254627342312347e-2,7.284027524183904e-2,2.186468469629598e-2
"IL",17,14,746748,0.23975558019572868,0.18697873981584148,0.24010375655508953,0.1993015046575284,4.7307793258234365e-2,1.8674305120335105e-2,5.0974358150272917e-2,1.6903962246969526e-2
"IL",17,15,701482,0.2520934250629382,0.2071143664413342,0.24223857490284853,0.22419962308369995,2.9295120901177793e-2,1.1720899467128166e-2,2.569132208666794e-2,7.646668054205241e-3
