Year,Group,Population,Citizen,Registered,RegisteredPct,NotRegistered,NotRegisteredPct,NoResponeToRegistration,NoResponseToRegistrationPct,Voted,VotedPct,NotVoted,NotVotedPct,NoResponseVoted,NoResponseVotedPct,RegisteredPctOfAll,VotedPctOfAll
2010,M75AndOverL12,730,706,544,77.1,92,13.1,70,9.9,370,52.4,268,38.0,68,9.6,74.5,50.6
2010,M75AndOverHS,2173,2143,1644,76.8,194,9.1,304,14.2,1351,63.1,491,22.9,301,14.0,75.7,62.2
2010,M75AndOverSC,1263,1246,987,79.2,69,5.5,191,15.3,825,66.2,230,18.4,192,15.4,78.2,65.3
2010,M75AndOverBA,1123,1106,940,85.0,33,3.0,133,12.0,864,78.1,111,10.0,131,11.8,83.7,76.9
2010,M75AndOverAD,780,771,672,87.1,22,2.8,77,10.0,627,81.2,65,8.4,80,10.4,86.1,80.3
2010,F75AndOverL9,1341,1208,670,55.4,386,32.0,153,12.6,368,30.4,718,59.4,123,10.2,49.9,27.4
2010,F75AndOverL12,1240,1209,787,65.1,262,21.6,160,13.3,519,43.0,538,44.5,152,12.6,63.5,41.9
2010,F75AndOverHS,4403,4314,3200,74.2,501,11.6,614,14.2,2386,55.3,1351,31.3,577,13.4,72.7,54.2
2010,F75AndOverSC,1953,1931,1545,80.0,138,7.1,248,12.8,1297,67.2,402,20.8,232,12.0,79.1,66.4
2010,F75AndOverBA,1065,1056,896,84.8,42,3.9,119,11.2,785,74.3,167,15.9,104,9.8,84.2,73.8
2010,F75AndOverAD,586,573,487,85.0,22,3.8,65,11.3,420,73.2,88,15.3,66,11.5,83.2,71.7
2012,M18To24L9,270,146,10,6.9,84,57.6,52,35.5,0,0.0,97,66.3,49,33.7,3.7,-
2012,M18To24L12,2365,2039,652,32.0,881,43.2,506,24.8,506,24.8,1043,51.1,491,24.1,27.6,21.4
2012,M18To24HS,4893,4510,1828,40.5,1748,38.8,934,20.7,1203,26.7,2494,55.3,814,18.0,37.4,24.6
2012,M18To24SC,6130,5829,3559,61.1,1313,22.5,956,16.4,2753,47.2,2185,37.5,890,15.3,58.1,44.9
2012,M18To24BA,1253,1127,852,75.7,118,10.4,157,13.9,697,61.9,274,24.3,155,13.8,68.1,55.7
2012,M18To24AD,82,61,45,72.8,4,6.6,13,20.5,38,62.0,11,17.5,13,20.5,54.4,46.3
2012,F18To24L9,188,117,6,5.1,75,64.7,35,30.3,1,1.1,80,68.6,35,30.3,3.1,0.7
2012,F18To24L12,1887,1650,566,34.3,585,35.4,499,30.3,411,24.9,769,46.6,469,28.4,30.0,21.8
2012,F18To24HS,4028,3737,1643,44.0,1359,36.4,735,19.7,1197,32.0,1875,50.2,664,17.8,40.8,29.7
2012,F18To24SC,7038,6699,4417,65.9,1391,20.8,892,13.3,3524,52.6,2259,33.7,916,13.7,62.8,50.1
2012,F18To24BA,1609,1499,1110,74.1,187,12.5,202,13.5,957,63.8,323,21.5,219,14.6,69.0,59.5
2012,F18To24AD,136,122,79,64.9,15,12.5,28,22.7,64,52.8,30,24.5,28,22.7,58.1,47.3
2012,M25To44L9,1584,444,93,21.0,240,54.0,111,25.0,61,13.7,285,64.1,99,22.3,5.9,3.8
2012,M25To44L12,2923,2050,857,41.8,813,39.7,380,18.5,520,25.4,1199,58.5,330,16.1,29.3,17.8
2012,M25To44HS,11790,10259,5564,54.2,2975,29.0,1719,16.8,4114,40.1,4557,44.4,1587,15.5,47.2,34.9
2012,M25To44SC,10554,9904,6812,68.8,1700,17.2,1391,14.0,5494,55.5,3077,31.1,1333,13.5,64.6,52.1
2012,M25To44BA,8835,8042,6345,78.9,761,9.5,935,11.6,5610,69.8,1529,19.0,903,11.2,71.8,63.5
2012,M25To44AD,4030,3318,2737,82.5,189,5.7,392,11.8,2537,76.5,408,12.3,374,11.3,67.9,62.9
2012,F25To44L9,1321,376,105,28.1,196,52.3,74,19.7,76,20.2,230,61.1,70,18.7,8.0,5.7
2012,F25To44L12,2558,1758,797,45.3,697,39.6,264,15.0,549,31.2,971,55.3,237,13.5,31.2,21.5
2012,F25To44HS,9804,8409,4967,59.1,1994,23.7,1449,17.2,3753,44.6,3307,39.3,1349,16.0,50.7,38.3
2012,F25To44SC,12079,11350,8268,72.8,1680,14.8,1402,12.3,6870,60.5,3089,27.2,1392,12.3,68.4,56.9
2012,F25To44BA,10309,9408,7508,79.8,752,8.0,1149,12.2,6775,72.0,1512,16.1,1122,11.9,72.8,65.7
2012,F25To44AD,4984,4420,3842,86.9,249,5.6,329,7.4,3584,81.1,510,11.5,327,7.4,77.1,71.9
2012,M45To64L9,1791,996,429,43.1,436,43.8,131,13.1,316,31.7,553,55.6,127,12.7,23.9,17.6
2012,M45To64L12,2691,2381,1256,52.8,804,33.8,320,13.5,900,37.8,1171,49.2,309,13.0,46.7,33.5
2012,M45To64HS,12494,11848,7893,66.6,2224,18.8,1732,14.6,6752,57.0,3439,29.0,1657,14.0,63.2,54.0
2012,M45To64SC,10217,9902,7809,78.9,928,9.4,1165,11.8,7095,71.7,1667,16.8,1140,11.5,76.4,69.4
2012,M45To64BA,7801,7454,6213,83.4,402,5.4,838,11.2,5847,78.4,746,10.0,861,11.5,79.7,75.0
2012,M45To64AD,4795,4514,3792,84.0,216,4.8,506,11.2,3626,80.3,383,8.5,505,11.2,79.1,75.6
2012,F45To64L9,1782,985,452,45.9,325,33.0,208,21.1,367,37.3,432,43.9,186,18.9,25.4,20.6
2012,F45To64L12,2495,2211,1259,56.9,655,29.6,298,13.5,980,44.3,956,43.2,276,12.5,50.5,39.3
2012,F45To64HS,12576,11928,8416,70.6,1822,15.3,1690,14.2,7273,61.0,3036,25.5,1620,13.6,66.9,57.8
2012,F45To64SC,12130,11722,9409,80.3,1002,8.5,1311,11.2,8525,72.7,1898,16.2,1298,11.1,77.6,70.3
2012,F45To64BA,8518,8113,6870,84.7,285,3.5,958,11.8,6495,80.1,638,7.9,980,12.1,80.7,76.2
2012,F45To64AD,4797,4586,3996,87.1,109,2.4,481,10.5,3837,83.7,266,5.8,482,10.5,83.3,80.0
2012,M65To74L9,618,515,320,62.0,153,29.6,43,8.3,254,49.2,230,44.7,31,6.1,51.7,41.0
2012,M65To74L12,802,756,500,66.1,186,24.6,70,9.3,415,54.9,274,36.2,67,8.9,62.4,51.8
2012,M65To74HS,3426,3366,2553,75.9,424,12.6,389,11.6,2338,69.5,662,19.7,365,10.9,74.5,68.2
2012,M65To74SC,2689,2661,2194,82.5,174,6.5,293,11.0,2063,77.5,303,11.4,295,11.1,81.6,76.7
2012,M65To74BA,2050,2003,1731,86.4,71,3.5,202,10.1,1652,82.5,157,7.8,194,9.7,84.4,80.6
2012,M65To74AD,1704,1673,1486,88.9,27,1.6,160,9.5,1442,86.2,76,4.6,154,9.2,87.2,84.6
2012,F65To74L9,834,656,384,58.5,180,27.4,92,14.1,294,44.7,279,42.5,84,12.8,46.1,35.2
2012,F65To74L12,1043,999,699,70.0,199,19.9,101,10.1,602,60.2,296,29.6,101,10.2,67.0,57.7
2012,F65To74HS,4618,4490,3426,76.3,522,11.6,542,12.1,3065,68.3,898,20.0,527,11.7,74.2,66.4
2012,F65To74SC,3249,3206,2701,84.2,177,5.5,329,10.2,2532,79.0,367,11.5,306,9.6,83.1,77.9
2012,F65To74BA,1804,1760,1497,85.1,53,3.0,210,11.9,1424,80.9,127,7.2,209,11.9,83.0,78.9
2012,F65To74AD,1323,1290,1129,87.5,24,1.9,137,10.6,1101,85.4,55,4.3,133,10.3,85.3,83.3
2012,M75AndOverL9,873,788,545,69.1,166,21.1,77,9.8,425,53.9,298,37.8,66,8.3,62.4,48.7
2012,M75AndOverL12,703,691,522,75.5,90,13.1,79,11.4,441,63.9,175,25.3,75,10.8,74.2,62.7
2012,M75AndOverHS,2446,2394,1929,80.5,201,8.4,264,11.0,1717,71.7,427,17.8,250,10.4,78.8,70.2
2012,M75AndOverSC,1325,1301,1126,86.5,58,4.5,117,9.0,1059,81.4,128,9.8,114,8.8,84.9,79.9
