StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"AR",5,2,747332,161172,110076,155709,125447,67820,24161,71566,31381
"AR",5,3,754704,196382,120552,193540,136299,45186,9669,41098,11978
"AR",5,4,717926,140897,121370,138362,134587,59926,29634,59342,33808
"AR",5,1,729169,160282,125190,150054,138032,54181,22767,52570,26093
"CA",6,1,711354,164002,145299,150007,161551,37144,13282,27144,12925
"CA",6,2,704148,140975,138887,129248,157472,50966,17766,49416,19418
"CA",6,3,712075,139445,93751,133984,101768,89449,34846,83806,35026
"CA",6,4,704230,150800,148144,142164,159014,37999,17474,32028,16607
"CA",6,5,715809,128924,109524,122898,126909,76658,34218,78470,38208
"CA",6,6,714536,119314,69750,113374,79687,113507,45425,119999,53480
"CA",6,7,719962,128433,98623,126313,112074,95099,33332,87493,38595
"CA",6,8,708578,159212,98606,151621,101354,71899,23957,75264,26665
"CA",6,9,724666,121999,77112,119618,85886,115925,42732,112714,48680
"CA",6,10,713348,167065,93133,161758,104674,66889,26347,64558,28924
"CA",6,11,726253,132246,101130,121747,114064,80380,41477,84048,51161
"CA",6,12,717042,125487,75397,105537,65281,98730,66997,104417,75196
"CA",6,13,719569,101180,65649,95632,69233,127108,58339,126540,75888
"CA",6,14,725771,98915,82624,92113,88040,116445,59814,112718,75102
"CA",6,15,732515,100128,80446,97155,88118,122873,54731,128107,60957
"CA",6,16,716746,131155,60781,123399,70091,124426,38998,123481,44415
"CA",6,17,719276,70251,53005,62796,56162,168181,71157,160413,77311
"CA",6,18,736397,142809,109958,129026,120621,78875,35782,80146,39180
"CA",6,19,712983,110746,69864,107480,70236,121091,54423,119779,59364
"CA",6,20,721890,183902,99551,163836,108250,60529,23824,57583,24415
"CA",6,21,712866,180273,67381,158429,65061,96511,35469,80788,28954
"CA",6,22,717545,166405,86811,163914,100049,78010,23936,73617,24803
"CA",6,23,713959,169286,98920,158302,107160,68888,25605,61712,24086
"CA",6,24,716974,163138,115938,152874,127644,62910,18541,56309,19620
"CA",6,25,717685,143907,91925,133016,95851,93947,32019,88652,38368
"CA",6,26,711999,166617,108524,159147,120501,56111,22306,52610,26183
"CA",6,27,710190,84051,69908,83570,79334,115840,75156,110889,91442
"CA",6,28,727828,148179,106285,132754,108308,79278,34144,77063,41817
"CA",6,29,722810,155269,70346,149463,74874,98841,37482,91859,44676
"CA",6,30,729053,135648,106648,133154,116176,82229,31886,83123,40189
"CA",6,31,724413,145422,71206,138494,82280,104686,36482,102114,43729
"CA",6,32,718635,116520,64146,113025,75743,120998,50880,112889,64434
"CA",6,33,701029,139180,123169,140027,133060,53239,23595,60502,28257
"CA",6,34,708100,82548,42351,71554,44094,165891,72673,150460,78529
"CA",6,35,718067,140969,61635,137376,70245,113801,40863,109740,43438
"CA",6,36,714975,112269,120275,104606,125699,98621,30222,91199,32084
"CA",6,37,716299,91724,47521,87883,53785,140667,65345,139856,89518
"CA",6,38,715745,128613,69000,117875,85307,98152,52996,102867,60935
"CA",6,39,718996,114370,78720,109274,88046,104894,56897,101761,65034
"CA",6,40,694514,132226,51723,130926,58770,119430,37283,120135,44021
"CA",6,41,726487,147656,70098,137673,76475,106115,36115,113812,38543
"CA",6,42,745833,174990,90905,165485,101448,73428,29644,76091,33842
"CA",6,43,697985,83052,45953,78652,47852,146494,65461,148587,81934
"CA",6,44,714989,101826,45975,101834,48635,149242,51644,153931,61902
"CA",6,45,724219,132212,98388,123974,111414,87807,38270,90904,41250
"CA",6,46,717993,153618,64089,145188,69548,106725,34462,104945,39418
"CA",6,47,722624,118705,82858,117564,85963,106319,46747,107688,56780
"CA",6,48,717809,133947,112086,128288,119869,74950,34725,70987,42957
"CA",6,49,714647,167528,110622,148200,122785,61056,22017,58436,24003
"CA",6,50,721337,166218,115934,171074,127939,50447,18127,50618,20980
"CA",6,51,738513,169919,75299,151728,84156,96906,34881,84748,40876
"CA",6,52,704272,148747,100876,132063,107171,75520,28241,80493,31161
"CA",6,53,725892,156959,86906,141635,91457,89726,34252,84085,40872
"CO",8,1,750153,192749,99656,180001,109495,58731,23413,61117,24991
"CO",8,2,743592,199141,137183,189949,146086,25656,8890,28022,8665
"CO",8,3,720338,178495,138178,166863,146748,34204,12895,30285,12670
"CO",8,4,738491,204280,125543,191658,133531,34043,9819,30831,8786
"CO",8,5,740514,191779,118410,174472,130269,50390,15558,42850,16786
"CO",8,6,748467,174696,105759,169998,119802,68548,21567,64054,24043
"CO",8,7,746027,204040,121077,192506,134309,35005,11665,33861,13564
"CT",9,1,723908,136536,119515,130349,139995,69491,26210,68231,33581
"CT",9,2,709756,168213,140723,160792,154175,33493,11935,29883,10542
"CT",9,3,712314,137775,120973,137263,139438,60625,21790,65918,28532
"CT",9,4,728616,145050,115938,142288,135150,69434,24097,68217,28442
"CT",9,5,715753,147187,132490,151897,149225,52224,16107,48153,18470
"DE",10,0,917092,167736,143510,167190,160858,94314,39131,95309,49044
"DC",11,98,632323,86992,36565,92066,35034,114176,61303,124032,82155
"FL",12,1,721000,158456,123119,143619,132177,59065,21677,55208,27679
"FL",12,2,707654,141966,104619,130477,111445,78875,30814,77063,32395
"FL",12,3,702872,157744,118871,146900,130984,55203,19897,51840,21433
"FL",12,4,706401,156418,114318,150428,126840,57432,19666,56391,24908
"FL",12,5,710781,81271,56039,76239,62530,144339,60379,153476,76508
"FL",12,6,711266,133606,155283,129934,174024,37584,17194,42368,21273
"FL",12,7,720817,173352,117475,164576,135506,46223,16816,46659,20210
"FL",12,8,703604,133661,154722,126616,173974,35928,19027,37556,22120
"FL",12,9,734323,182095,94378,170015,106895,64089,26771,60446,29634
