StateAbbreviation,StateFIPS,CongressionalDistrict,Population,YoungWhiteMale,OldWhiteMale,YoungWhiteFemale,OldWhiteFemale,YoungNonWhiteMale,OldNonWhiteMale,YoungNonWhiteFemale,OldNonWhiteFemale
"AL",1,1,704457,123582,107570,123462,120257,72779,34828,75510,46469
"AL",1,2,681621,115335,97067,109024,108136,82881,37194,85639,46345
"AL",1,3,709482,139427,103348,133265,116758,68735,33390,71997,42562
"AL",1,4,683273,162050,132103,161760,147843,26945,13232,24494,14846
"AL",1,5,712529,146689,120686,141161,132798,59515,24118,56650,30912
"AL",1,6,706308,149874,117873,150336,136260,55623,17800,55052,23490
"AL",1,7,665630,63250,45597,59401,51472,131952,72609,144033,97316
"AK",2,0,741894,152979,102368,129990,92558,100012,35214,93964,34809
"AZ",4,1,766924,135634,116226,129215,120458,97198,37244,88693,42256
"AZ",4,2,722770,150442,136812,144997,157469,46940,18654,47365,20091
"AZ",4,3,752284,154300,86461,146086,96514,103730,35152,93123,36918
"AZ",4,4,753807,153784,182564,134152,191239,34882,12874,29924,14388
"AZ",4,5,785110,190902,135102,191990,146852,43414,15243,43511,18096
"AZ",4,6,764776,168561,152522,155910,170635,42010,15738,40278,19122
"AZ",4,7,818387,157317,75536,160410,76225,134983,38672,133136,42108
"AZ",4,8,782511,163492,154059,163485,178245,43589,16247,43848,19546
"AZ",4,9,784502,183866,104365,171897,117220,85086,20627,75314,26127
"AR",5,1,725733,154272,126384,144580,138779,57351,24203,51559,28605
"AR",5,2,758929,151748,111656,147342,128138,73705,29606,80244,36490
"AR",5,3,794237,196858,127315,192902,142529,53991,13153,53161,14328
"AR",5,4,709349,139466,122043,131213,134841,57607,29424,59345,35410
"CA",6,1,703162,157580,149881,145016,159654,32714,13170,29553,15594
"CA",6,2,716202,135889,144309,130004,160419,49813,21725,50699,23344
"CA",6,3,740253,145389,99963,138533,108588,89208,36618,82451,39503
"CA",6,4,737169,156894,153921,143533,167782,37299,19151,37347,21242
"CA",6,5,735968,111717,107156,111498,127053,95969,43255,89277,50043
"CA",6,6,763987,120278,76291,119663,83746,130173,47835,125447,60554
"CA",6,7,738468,125133,100698,122347,117706,89514,43601,92485,46984
"CA",6,8,723600,169931,106687,159833,112265,60633,24783,60812,28656
"CA",6,9,760794,121172,88812,111991,93885,119892,46024,125831,53187
"CA",6,10,744989,164408,97453,160323,110808,74339,30393,73437,33828
"CA",6,11,756337,121853,105019,120709,116816,94413,48478,92225,56824
"CA",6,12,756991,123219,78515,106331,61585,113535,73352,114763,85691
"CA",6,13,755243,90455,64423,92635,68275,140457,72339,141498,85161
"CA",6,14,749041,88757,80671,79483,83897,130691,70696,129506,85340
"CA",6,15,769371,96847,80320,94163,89328,135760,66451,130855,75647
"CA",6,16,730141,137447,68311,140557,77163,115424,39584,109592,42063
"CA",6,17,774647,66745,52236,52193,51272,191559,85368,186581,88693
"CA",6,18,739012,120192,109222,108532,119636,97278,41737,92174,50241
"CA",6,19,762005,94338,69964,90320,72312,147639,69530,140528,77374
"CA",6,20,743764,139967,94918,131051,105766,103100,36719,95992,36251
"CA",6,21,726385,189238,77915,167534,73373,84428,32945,72460,28492
"CA",6,22,755289,174833,95088,177291,109162,74062,26909,69360,28584
"CA",6,23,725299,158802,97209,148174,105132,80795,29794,74367,31026
"CA",6,24,738700,173161,119418,161501,133887,56960,21910,51684,20179
"CA",6,25,728858,134770,100387,130725,104156,91907,37465,83407,46041
"CA",6,26,726532,173668,116827,163263,132114,45380,23610,46243,25427
"CA",6,27,724293,69288,64790,63334,75316,131584,86869,126709,106403
"CA",6,28,709613,132914,104116,125760,108205,75805,41406,75481,45926
"CA",6,29,726264,136485,75042,129829,76966,100150,48057,105382,54353
"CA",6,30,759943,144053,112994,131314,129022,79184,37903,79387,46086
"CA",6,31,742627,151853,73848,142898,87960,101248,37926,101437,45457
"CA",6,32,719488,85875,58110,78944,67910,139051,73117,135145,81336
"CA",6,33,712919,130354,128054,127876,131476,59162,27373,71563,37061
"CA",6,34,758622,111360,52178,100309,53029,150059,71058,135803,84826
"CA",6,35,744729,113365,58498,111324,60935,144903,58331,135300,62073
"CA",6,36,749841,124340,134388,120822,135638,80169,35752,81327,37405
"CA",6,37,729010,104137,50992,91542,59080,131408,71518,129819,90514
"CA",6,38,708889,85420,64363,82973,71314,131203,66415,132842,74359
"CA",6,39,729909,102274,76186,95466,79552,113962,68637,114650,79182
"CA",6,40,723345,120611,57032,120278,60342,132378,48158,130366,54180
"CA",6,41,760165,111932,62007,108318,67393,147792,49706,153837,59180
"CA",6,42,793044,151321,94846,137817,104502,110140,43421,103860,47137
"CA",6,43,724077,74882,46059,75642,48169,154703,72108,156854,95660
"CA",6,44,723685,108463,52830,106614,55930,130828,58114,138086,72820
"CA",6,45,774130,135708,106101,122254,122556,97277,43925,94576,51733
"CA",6,46,736031,148059,68831,143537,75933,101237,43455,107279,47700
"CA",6,47,714311,109318,76672,109334,80143,112748,55794,107039,63263
"CA",6,48,727100,129123,120216,126157,130803,69325,39050,65912,46514
"CA",6,49,739697,178016,125399,164809,134723,47164,18215,47487,23884
"CA",6,50,751527,160742,118986,158143,127801,66120,28606,61429,29700
"CA",6,51,747202,168124,83353,157073,88837,90777,37240,75946,45852
"CA",6,52,750537,165176,104553,137785,114562,79045,31944,78389,39083
"CA",6,53,766812,155357,92500,147541,101670,95109,38427,89925,46283
"CO",8,1,812843,206463,109106,195242,118419,65205,26597,63835,27976
"CO",8,2,803470,219119,148035,196312,158525,32503,10227,28322,10427
"CO",8,3,738119,180303,149823,169510,155504,29565,11135,29814,12465
"CO",8,4,795836,224620,143339,213037,150839,23291,10672,19961,10077
"CO",8,5,786939,197550,129531,178689,137224,58326,16839,49369,19411
