StateAbbreviation,StateFIPS,CongressionalDistrict,Population,MedianHouseholdIncome,MedianAge,CollegeGradPct,AverageHouseholdSize,PovertyRate
"NC",37,12,860866,58787.0,34.1,0.2815542794888672,2.57,0.12751664401092663
"NC",37,13,781657,50803.0,39.5,0.19419116109567763,2.5,0.1475502590075011
"ND",38,0,755393,61843.0,35.4,0.21787483061237659,2.31,0.10321311295596794
"OH",39,1,740851,59719.0,36.8,0.2201590913750333,2.43,0.1586109585803752
"OH",39,2,728153,57083.0,40.1,0.18259268463060183,2.41,0.11899129770545458
"OH",39,3,782878,47123.0,32.6,0.18181656249628905,2.5,0.21942219849320757
"OH",39,4,710603,52370.0,40.8,0.1198616281778319,2.43,0.12740044018776253
"OH",39,5,717547,56835.0,39.5,0.16420660395675576,2.43,9.811686795150824e-2
"OH",39,6,696153,47067.0,43.5,9.929696112903906e-2,2.4699999999999998,0.14847140815823323
"OH",39,7,725665,54045.0,41.2,0.13130657035587667,2.52,0.12249928435148143
"OH",39,8,730445,58295.0,38.7,0.1518370905725012,2.58,0.10829877738084179
"OH",39,9,720715,43182.0,38.0,0.14229223389083365,2.33,0.19862944673989721
"OH",39,10,721456,51208.0,39.0,0.17271825961171203,2.32,0.14693588197407267
"OH",39,11,675475,35954.0,39.0,0.14766588348282425,2.16,0.2557158184063012
"OH",39,12,780529,71853.0,38.3,0.2648983660555628,2.59,8.239334232426565e-2
"OH",39,13,715559,45177.0,40.6,0.15248716079351649,2.2800000000000002,0.17453489545054976
"OH",39,14,724790,67163.0,43.7,0.21528377385409703,2.48,8.915598403042359e-2
"OH",39,15,772776,66694.0,37.7,0.193454465600733,2.55,0.11642646468713394
"OH",39,16,715014,66504.0,43.3,0.2178129883488616,2.44,7.835939766644101e-2
"OK",40,1,803883,53332.0,36.2,0.20286443668581297,2.57,0.1403042151632719
