NAME,TotalPopulation,01,03,05,04,02
1,765640,734317,29816,0,0,1505
2,822192,71064,0,0,0,751126
3,807962,641,597687,185539,24093,0
4,778026,0,1,26363,751661,0
5,775519,0,149218,611176,15123,1
