NAME,TotalPopulation,01,03,05,04,07,02,06
1,704443,704439,0,0,0,2,1,0
2,704231,1941,41107,0,0,2767,658415,0
3,696953,0,672011,0,2201,0,3,22737
4,701256,0,4,41389,659381,474,0,5
5,687209,0,0,686744,464,0,0,0
6,689466,0,6,0,4753,67052,0,617653
7,709625,4423,94,0,21799,591481,20313,71512
