NAME,TotalPopulation,01,03,05,04,07,02,09,06,08
1,774725,708535,0,0,0,0,66189,0,0,0
2,753458,18731,1518,42722,31446,0,659040,0,0,0
3,755097,0,726115,2,0,0,2198,0,26781,0
4,765182,0,0,4380,677620,37,22157,57008,0,3978
5,755143,0,12625,714471,20143,7392,0,0,510,0
6,773498,0,27681,32,0,0,0,0,745784,0
7,784543,0,0,8055,148,763833,0,0,0,12505
8,759632,0,0,0,24880,34055,0,494,0,700202
9,751720,0,0,0,2648,0,0,691376,0,57695
