GEOID,NAME,STATE,DIST,C_TOT19,CTOTMOE,C_NHS19,CNHSMOE,C_AIA19,CAIAMOE,C_ASN19,CASNMOE,C_BLK19,CBLKMOE,C_NHP19,CNHPMOE,C_WHT19,CWHTMOE,C_AIW19,CAIWMOE,C_ASW19,CASWMOE,C_BLW19,CBLWMOE,C_AIB19,CAIBMOE,C_2OM19,C2OMMOE,C_HSP19,CHSPMOE,CVAP_TOT19,CVAPTOTMOE,CVAP_NHS19,CVAPNHSMOE,CVAP_AIA19,CVAPAIAMOE,CVAP_ASN19,CVAPASNMOE,CVAP_BLK19,CVAPBLKMOE,CVAP_NHP19,CVAPNHPMOE,CVAP_WHT19,CVAPWHTMOE,CVAP_AIW19,CVAPAIWMOE,CVAP_ASW19,CVAPASWMOE,CVAP_BLW19,CVAPBLWMOE,CVAP_AIB19,CVAPAIBMOE,CVAP_2OM19,CVAP2OMMOE,CVAP_HSP19,CVAPHSPMOE,ALL_TOT19,ALLTOTMOE,ALL_NHS19,ALLNHSMOE,ALL_AIA19,ALLAIAMOE,ALL_ASN19,ALLASNMOE,ALL_BLK19,ALLBLKMOE,ALL_NHP19,ALLNHPMOE,ALL_WHT19,ALLWHTMOE,ALL_AIW19,ALLAIWMOE,ALL_ASW19,ALLASWMOE,ALL_BLW19,ALLBLWMOE,ALL_AIB19,ALLAIBMOE,ALL_2OM19,ALL2OMMOE,ALL_HSP19,ALLHSPMOE,VAP_TOT19,VAPTOTMOE,VAP_NHS19,VAPNHSMOE,VAP_AIA19,VAPAIAMOE,VAP_ASN19,VAPASNMOE,VAP_BLK19,VAPBLKMOE,VAP_NHP19,VAPNHPMOE,VAP_WHT19,VAPWHTMOE,VAP_AIW19,VAPAIWMOE,VAP_ASW19,VAPASWMOE,VAP_BLW19,VAPBLWMOE,VAP_AIB19,VAPAIBMOE,VAP_2OM19,VAP2OMMOE,VAP_HSP19,VAPHSPMOE,STATEFP,SLDL
51021,"State House District 21 (2018), Virginia",Virginia,State House District 21 (2018),80270,1715,73045,1639,650,31,9500,43,20425,69,65,55,41570,1449,355,144,1625,344,1725,445,225,160,1055,295,7225,889,60030,1236,55420,1193,470,26,7280,37,15270,54,55,61,32005,984,240,101,665,188,615,201,160,105,500,178,4610,568,83100,1843,75340,1714,650,31,11205,46,20560,69,65,55,42015,1454,355,144,1660,345,1725,445,225,160,1070,303,7760,995,62595,1395,57490,1280,470,26,8815,39,15400,54,55,61,32395,993,240,101,700,192,615,201,160,105,515,186,5105,668,51,021
51022,"State House District 22 (2018), Virginia",Virginia,State House District 22 (2018),80670,1779,78190,1800,485,27,945,26,16860,60,10,15,59790,1551,315,135,250,107,895,307,120,95,215,148,2480,494,63565,1448,62220,1444,435,25,690,22,12370,51,10,15,48695,1246,270,100,155,73,415,176,120,95,140,128,1345,293,82305,1856,79175,1827,485,27,1285,27,17110,60,10,15,60190,1548,315,135,250,107,895,307,120,95,215,148,3130,552,64995,1501,63025,1438,435,25,935,23,12605,51,10,15,49020,1239,270,100,155,73,415,176,120,95,140,128,1965,355,51,022
51023,"State House District 23 (2018), Virginia",Virginia,State House District 23 (2018),81920,1492,79475,1527,705,30,1700,29,14150,56,20,34,62830,1199,365,142,630,188,555,251,125,90,190,114,2445,427,66535,1022,64655,1033,605,28,1050,23,10430,46,20,34,52565,883,300,113,305,96,155,82,125,90,115,60,1880,260,84660,1552,81685,1538,740,31,2885,29,14730,55,20,34,63215,1182,395,163,645,188,555,251,125,90,215,118,2975,457,68985,1060,66685,1038,640,29,2135,24,10960,45,20,34,52920,864,330,120,320,97,155,82,125,90,140,69,2300,288,51,023
51024,"State House District 24 (2018), Virginia",Virginia,State House District 24 (2018),79050,1080,77265,1096,980,33,705,24,7395,44,35,42,68165,1035,480,150,130,80,515,190,90,70,75,45,1785,283,65640,846,64450,828,830,32,585,21,6250,40,35,42,56805,770,385,147,90,66,245,143,90,70,40,31,1195,222,80035,1075,77745,1129,980,33,970,25,7420,44,35,42,68355,1053,480,150,130,80,515,190,90,70,75,45,2295,333,66555,840,64910,854,830,32,825,22,6275,40,35,42,57000,781,385,147,90,66,245,143,90,70,40,31,1645,251,51,024
51025,"State House District 25 (2018), Virginia",Virginia,State House District 25 (2018),82165,1629,79990,1689,215,23,955,25,2980,39,85,79,75670,1523,105,68,280,143,280,137,0,29,80,63,2175,395,64490,1190,63145,1203,165,21,590,21,2125,32,85,79,60125,1069,95,70,100,80,75,61,0,29,60,50,1345,232,84550,1681,81115,1656,215,23,1215,26,3140,40,90,80,76375,1520,105,68,285,142,280,137,0,29,80,63,3435,646,66590,1229,64070,1154,165,21,800,22,2255,32,90,80,60700,1054,95,70,105,81,75,61,0,29,60,50,2520,461,51,025
51026,"State House District 26 (2018), Virginia",Virginia,State House District 26 (2018),78650,1403,69825,1205,280,28,2080,28,4265,44,15,22,62900,1023,155,132,555,165,900,267,65,66,340,197,8825,577,63060,1030,58345,808,180,24,1705,26,3335,41,15,22,53010,696,70,75,370,125,440,212,65,66,165,115,4710,530,86615,923,72955,929,280,28,2990,31,5255,42,15,22,64110,911,155,132,780,241,900,267,65,66,365,207,13660,374,69810,631,60685,616,180,24,2425,25,3985,39,15,22,53980,623,70,75,505,158,440,212,65,66,165,115,9125,236,51,026
51027,"State House District 27 (2018), Virginia",Virginia,State House District 27 (2018),79705,1575,75200,1580,860,42,2490,31,18440,68,75,63,53140,1402,245,133,420,182,940,372,280,249,480,410,4510,761,61105,1167,58705,1178,695,36,1590,24,13735,57,55,59,42640,1101,220,111,150,85,290,176,215,195,200,144,2405,367,81905,1616,76220,1612,860,42,2880,32,18590,68,75,63,53615,1413,245,133,435,184,940,372,280,249,480,410,5685,860,63060,1221,59615,1211,695,36,1940,26,13845,57,55,59,43095,1105,220,111,170,90,290,176,215,195,200,144,3440,468,51,027
51028,"State House District 28 (2018), Virginia",Virginia,State House District 28 (2018),83230,1770,74745,1525,975,34,2935,36,17875,67,100,74,52510,1228,485,128,815,322,2020,511,125,156,475,170,8485,916,62085,1299,57095,1090,820,32,2120,28,12620,57,70,67,41315,928,395,110,390,144,730,277,125,156,270,105,4990,643,87215,1789,76425,1527,975,34,3485,39,18285,67,100,74,53215,1267,485,128,815,322,2020,511,125,156,485,171,10785,989,65745,1255,58570,1060,820,32,2585,30,13015,57,70,67,41920,919,395,110,390,144,730,277,125,156,280,107,7175,658,51,028
51029,"State House District 29 (2018), Virginia",Virginia,State House District 29 (2018),82295,1034,77370,1058,705,32,1125,24,6865,58,70,76,68695,958,215,91,240,98,1705,436,240,157,155,106,4925,432,63520,872,61465,886,585,30,805,20,4500,46,35,42,55675,779,170,91,70,50,470,193,240,157,100,80,2055,288,86170,1083,78195,1034,705,32,1530,28,7110,58,80,92,68855,946,215,91,330,178,1705,436,240,157,155,106,7975,553,67130,851,62225,849,585,30,1200,24,4700,45,45,55,55830,765,170,91,165,120,470,193,240,157,100,80,4905,305,51,029
51030,"State House District 30 (2018), Virginia",Virginia,State House District 30 (2018),82600,987,78625,816,660,34,735,28,13465,56,60,82,63505,807,385,205,145,120,1560,451,80,79,285,255,3975,580,63675,704,61560,590,495,31,425,22,9910,42,55,82,50675,585,245,174,75,70,440,199,80,79,80,61,2115,403,85945,837,79365,792,660,34,985,29,13585,56,60,82,63870,748,385,205,145,120,1560,451,80,79,285,255,6580,379,66305,638,62165,615,495,31,640,24,10030,42,55,82,50940,555,245,174,75,70,440,199,80,79,80,61,4140,216,51,030
51031,"State House District 31 (2018), Virginia",Virginia,State House District 31 (2018),82665,1717,70720,1595,370,27,5950,43,17945,61,200,147,45770,1349,140,85,795,323,1195,411,45,53,530,185,11945,1076,59940,1268,52890,1253,315,24,4040,33,12945,51,135,77,35185,1062,110,63,340,139,495,247,45,53,320,103,7055,776,88025,1839,72890,1633,370,27,7205,46,18350,61,200,147,46280,1389,140,85,965,414,1195,411,45,53,530,185,15140,1135,64925,1373,54925,1285,315,24,5240,39,13310,51,135,77,35650,1113,110,63,480,256,495,247,45,53,320,103,10000,841,51,031
51032,"State House District 32 (2018), Virginia",Virginia,State House District 32 (2018),85660,1581,76550,1352,350,21,15600,47,7645,47,105,63,52565,1029,110,66,1615,332,960,296,20,22,300,107,9110,750,60220,1198,54820,1097,250,18,9735,41,5325,41,65,30,39300,885,70,38,745,241,500,200,10,19,155,59,5395,444,94310,1446,83705,1253,350,21,20355,50,8305,48,105,63,54315,1054,110,66,1735,392,960,296,20,22,300,107,10605,905,68155,1093,61325,1028,250,18,14115,44,5895,41,65,30,40860,858,70,38,865,318,500,200,10,19,155,59,6835,569,51,032
51033,"State House District 33 (2018), Virginia",Virginia,State House District 33 (2018),88545,1743,82445,1840,330,25,3715,39,5230,51,30,32,73015,1759,165,90,1390,374,510,263,55,61,175,85,6100,743,64220,1314,60875,1343,230,21,2345,32,3815,39,30,32,54365,1208,110,60,455,179,105,79,25,38,125,72,3340,401,91855,1847,83655,1844,330,25,3880,40,5275,51,30,32,74015,1735,165,90,1390,374,510,263,55,61,175,85,8200,900,67315,1348,62010,1344,230,21,2485,32,3860,39,30,32,55310,1196,110,60,455,179,105,79,25,38,125,72,5305,549,51,033
51034,"State House District 34 (2018), Virginia",Virginia,State House District 34 (2018),74660,1154,70140,1128,180,21,14130,46,2840,44,25,41,52820,1178,75,55,1795,387,540,283,35,38,180,105,4515,601,55200,1028,52700,946,150,19,9930,39,2040,35,20,28,40515,944,45,33,730,221,130,88,35,38,90,62,2495,394,80225,1224,74125,1205,180,21,16585,49,2925,45,25,41,54260,1172,75,55,1820,394,540,283,35,38,190,114,6100,748,60285,1121,56370,1013,150,19,12245,43,2120,35,20,28,41790,958,45,33,755,228,130,88,35,38,90,62,3915,521,51,034
51035,"State House District 35 (2018), Virginia",Virginia,State House District 35 (2018),74760,1577,67985,1552,745,34,15950,51,4775,46,0,29,46225,1486,550,314,2655,489,565,240,35,39,325,123,6775,903,57270,1344,53115,1261,520,29,11105,44,3520,41,0,29,37750,1298,335,188,1145,324,430,185,35,39,255,101,4155,610,89225,1730,80070,1755,745,34,24310,59,5205,47,0,29,49515,1516,550,314,3115,652,590,242,35,39,325,123,9155,1183,69565,1362,63250,1369,520,29,18050,52,3850,41,0,29,40610,1275,335,188,1525,464,455,189,35,39,255,101,6315,819,51,035
51036,"State House District 36 (2018), Virginia",Virginia,State House District 36 (2018),74540,1528,67920,1591,95,16,11400,44,7865,51,30,49,48080,1346,85,47,1555,281,725,244,0,29,455,214,6620,793,56655,1225,52435,1190,89,15,7455,37,5200,41,15,23,39320,1075,85,47,665,199,260,105,0,29,355,191,4220,529,84680,1475,75305,1615,95,16,16050,47,8800,55,40,62,49865,1378,85,47,1590,294,760,261,0,29,455,214,9375,1166,65770,1107,59085,1168,89,15,11650,40,6070,44,25,37,40890,1088,85,47,700,208,285,112,0,29,355,191,6685,831,51,036
51037,"State House District 37 (2018), Virginia",Virginia,State House District 37 (2018),71650,1633,63675,1396,400,29,17430,51,7255,50,160,157,38125,1055,220,159,1800,396,585,221,85,71,385,208,7975,950,55430,1201,50270,1150,335,27,12755,43,5855,45,110,99,31055,882,155,105,895,274,310,129,85,71,245,120,5160,587,85580,1830,73660,1682,400,29,24585,59,8170,51,160,157,40000,1191,220,159,2260,511,635,233,85,71,425,208,11920,1249,67660,1435,58975,1373,335,27,19225,51,6560,45,110,99,32555,899,155,105,1230,355,335,134,85,71,280,124,8680,811,51,037
51038,"State House District 38 (2018), Virginia",Virginia,State House District 38 (2018),63550,1708,48095,1456,160,19,12235,46,6915,45,130,116,28410,1099,100,68,1045,364,425,171,10,14,255,136,15455,1236,47000,1298,38735,1158,145,17,10100,44,4935,37,75,59,23350,881,100,68,650,335,215,123,10,14,145,86,8265,821,81860,1734,54965,1671,160,19,16325,58,8405,48,130,116,29605,1141,100,68,1505,651,435,170,10,14,350,225,26895,1685,62975,1469,44830,1300,145,17,13800,55,6210,41,75,59,24375,921,100,68,1085,621,225,123,10,14,235,173,18145,1216,51,038
51039,"State House District 39 (2018), Virginia",Virginia,State House District 39 (2018),73935,1649,63260,1556,240,22,15745,50,8275,47,25,37,38720,1463,120,70,1745,382,365,113,45,57,300,180,10680,1007,55850,1287,49165,1205,240,22,11630,43,6000,39,25,37,31185,1045,120,70,1115,304,135,80,45,57,130,85,6685,656,85375,1722,69040,1675,240,22,18985,55,9760,51,25,37,39775,1445,120,70,1955,476,425,151,45,57,300,180,16335,1364,66445,1416,54560,1279,240,22,14650,49,7385,47,25,37,32170,1026,120,70,1295,398,195,128,45,57,130,85,11885,1099,51,039
51040,"State House District 40 (2018), Virginia",Virginia,State House District 40 (2018),77980,1223,71235,1408,645,36,13985,52,6540,54,40,42,49795,1308,415,206,2520,581,810,269,105,97,330,143,6750,843,57035,1114,53220,1166,435,27,10005,47,4695,48,40,42,37840,1003,310,135,1380,474,525,237,65,61,260,123,3815,523,85490,1360,77160,1643,645,36,18370,56,6845,55,40,42,51000,1474,415,206,2635,611,830,285,105,97,355,170,8335,1059,63780,1167,58495,1304,435,27,13950,50,5000,49,40,42,38840,1074,310,135,1475,499,550,254,65,61,290,152,5280,702,51,040
51041,"State House District 41 (2018), Virginia",Virginia,State House District 41 (2018),78210,1547,68870,1575,565,34,14620,45,5405,53,40,36,48005,1209,170,90,1720,376,480,185,200,224,440,188,9340,705,58485,1323,52780,1271,510,33,10930,40,3925,49,40,36,37400,979,115,60,775,268,265,149,200,224,175,100,5705,512,84825,1482,73240,1545,565,34,17620,48,6065,55,40,36,48715,1256,170,90,1790,408,540,212,200,224,440,188,11585,846,64585,1302,56855,1256,510,33,13735,43,4515,50,40,36,38085,1014,115,60,835,306,290,153,200,224,175,100,7730,596,51,041
51042,"State House District 42 (2018), Virginia",Virginia,State House District 42 (2018),79265,1340,71385,1317,420,26,12645,47,8480,48,50,53,49150,1327,250,141,1675,448,610,228,30,31,680,256,7880,822,57800,901,52790,916,390,25,9150,40,5660,39,40,43,37160,870,240,138,770,292,270,133,30,31,430,189,5005,506,83345,1362,74095,1338,420,26,14315,49,8785,48,50,53,49880,1339,250,141,1725,460,610,228,30,31,680,256,9250,919,61475,887,55235,953,390,25,10585,42,5960,39,40,43,37865,873,240,138,820,311,270,133,30,31,430,189,6240,573,51,042
51043,"State House District 43 (2018), Virginia",Virginia,State House District 43 (2018),80565,1612,69110,1715,575,37,9595,48,17245,63,20,29,41265,1378,375,282,1315,254,1025,272,115,101,530,191,11455,1139,61315,1235,54015,1306,400,32,7050,39,13195,56,20,29,33105,947,225,154,710,160,545,197,90,85,340,146,7300,715,90260,1685,74860,1860,575,37,12775,57,18595,64,20,29,42440,1435,375,282,1735,478,1025,272,115,101,560,214,15400,1346,70110,1182,59070,1387,400,32,9750,47,14420,56,20,29,34195,990,225,154,985,289,545,197,90,85,370,165,11045,902,51,043
51044,"State House District 44 (2018), Virginia",Virginia,State House District 44 (2018),76420,1888,61160,1723,465,31,5845,44,16345,71,135,82,37670,1286,210,95,790,205,1085,405,190,247,890,516,15255,1251,51975,1484,44450,1377,390,28,4230,39,11100,57,125,75,28210,1021,190,89,450,172,370,169,135,164,530,316,7525,854,90405,2137,66040,1904,465,31,7555,52,18330,73,135,82,38845,1392,210,95,960,333,1085,405,190,247,900,520,24360,1817,64505,1664,48615,1537,390,28,5780,45,12835,58,125,75,29080,1050,190,89,540,217,370,169,135,164,540,320,15895,1348,51,044
51045,"State House District 45 (2018), Virginia",Virginia,State House District 45 (2018),83370,1194,75795,1128,705,31,4280,36,9590,55,60,46,60980,1199,510,151,1160,244,1000,334,80,65,260,142,7575,746,68335,962,63860,952,660,29,3480,31,7415,47,25,23,52125,892,510,151,660,141,425,140,70,65,215,125,4475,488,91530,1434,79060,1189,705,31,5470,39,10325,57,60,46,62300,1194,510,151,1190,261,1040,348,80,65,280,144,12470,1038,75890,1254,66930,989,660,29,4565,33,8120,48,25,23,53385,879,510,151,685,151,465,149,70,65,240,128,8955,790,51,045
51046,"State House District 46 (2018), Virginia",Virginia,State House District 46 (2018),68495,1665,58270,1295,205,27,4990,39,20540,64,15,27,32040,866,100,93,1325,355,980,522,40,64,515,190,10225,949,54420,1363,48240,1186,205,27,3975,35,16105,56,15,27,27610,757,100,93,825,269,570,337,40,64,370,155,6180,676,87790,1197,71400,944,205,27,8285,43,27045,64,15,27,35195,939,100,93,1880,441,1240,617,40,64,690,233,16390,877,71400,982,59490,827,205,27,6960,38,21780,57,15,27,30025,763,100,93,1195,320,835,463,40,64,545,213,11915,633,51,046
51047,"State House District 47 (2018), Virginia",Virginia,State House District 47 (2018),81690,1406,73345,1433,310,24,7735,40,4860,45,55,52,60000,1272,185,97,1500,271,435,180,0,29,385,156,8345,751,65675,979,60110,1024,280,22,5875,35,3775,38,55,52,49875,944,185,97,715,165,335,157,0,29,255,106,5560,531,90745,1759,78500,1478,310,24,10375,43,5200,46,55,52,62170,1290,185,97,1690,296,435,180,0,29,395,158,12245,1118,74110,1320,64965,1082,280,22,8300,38,4115,39,55,52,51955,923,185,97,875,193,335,157,0,29,260,108,9145,864,51,047
51048,"State House District 48 (2018), Virginia",Virginia,State House District 48 (2018),76725,1616,71085,1458,440,26,8295,41,3700,37,75,61,58320,1386,260,126,1595,300,180,86,15,26,270,166,5640,704,60835,1330,56745,1210,380,25,6075,36,2925,33,75,61,47135,1105,235,108,890,200,100,68,15,26,175,108,4090,543,84845,1600,77625,1458,440,26,11945,47,4305,38,100,64,60555,1335,260,126,1785,369,195,90,15,26,295,196,7220,887,67815,1247,62400,1154,380,25,9350,40,3345,34,100,64,49040,1033,235,108,1000,232,100,68,15,26,200,139,5415,715,51,048
51049,"State House District 49 (2018), Virginia",Virginia,State House District 49 (2018),73325,1584,58850,1525,420,26,9425,46,14505,53,20,32,34110,1091,155,98,1105,273,960,376,35,34,410,193,14475,1060,57895,1269,48720,1217,330,23,7270,39,11145,49,20,32,29650,912,120,75,555,168,585,274,35,34,335,172,9175,792,90645,1979,68275,1829,420,26,13645,55,17190,56,20,32,36570,1221,155,98,1485,397,995,377,35,34,465,199,22375,1618,73895,1530,57265,1392,330,23,11230,48,13445,51,20,32,31885,1021,120,75,870,276,620,272,35,34,390,180,16630,1331,51,049
51050,"State House District 50 (2018), Virginia",Virginia,State House District 50 (2018),78235,1481,60645,1117,460,27,6760,40,12210,50,35,33,40260,1023,150,95,1275,279,1150,356,0,29,925,418,17590,1006,52880,1153,43945,838,295,23,4735,36,8290,42,35,33,30150,659,85,61,695,233,435,178,0,29,440,185,8935,839,90385,1813,63560,1184,525,27,8095,43,12695,50,55,55,41230,1037,155,96,1330,294,1150,356,0,29,960,447,26820,1245,64190,1370,46570,841,365,24,5905,38,8770,41,55,55,31000,646,90,60,740,239,435,178,0,29,480,206,17620,1022,51,050
51051,"State House District 51 (2018), Virginia",Virginia,State House District 51 (2018),81270,1674,70850,1672,615,29,5550,40,15280,57,70,54,48760,1351,335,120,1265,315,795,290,60,57,635,258,10420,766,59220,1177,53075,1152,525,28,3885,33,10720,48,70,54,37650,953,305,113,610,186,365,154,60,57,290,111,6140,545,86965,1644,73690,1611,625,30,6535,41,15880,57,70,54,50005,1331,345,125,1300,320,795,290,60,57,635,258,13280,822,64460,1218,55525,1150,525,28,4755,35,11255,48,70,54,38695,943,305,113,645,193,365,154,60,57,290,111,8935,616,51,051
51052,"State House District 52 (2018), Virginia",Virginia,State House District 52 (2018),75080,1599,53640,1786,480,31,6860,45,24525,63,25,34,21235,1092,85,70,1045,405,1695,411,115,86,630,221,21440,1241,52185,1352,40600,1304,415,29,4945,36,17405,53,25,34,17520,854,85,70,575,234,870,242,95,67,385,153,11585,969,92850,1992,58805,1874,490,31,9065,51,26875,65,25,34,21815,1120,95,72,1530,536,1695,411,115,86,650,233,34050,1912,68300,1572,45245,1388,425,29,6915,42,19610,54,25,34,17960,881,95,72,905,326,870,242,95,67,410,163,23060,1458,51,052
51053,"State House District 53 (2018), Virginia",Virginia,State House District 53 (2018),69795,1325,60720,1192,300,25,14025,50,4620,44,15,29,41470,1236,220,129,1675,326,315,135,0,29,290,168,9075,746,53260,1057,47635,989,255,22,10510,43,3335,37,15,29,33340,957,220,129,695,222,135,91,0,29,180,97,5625,486,87310,1698,70515,1555,300,25,20600,61,5805,48,15,29,43445,1258,220,129,2240,608,315,135,0,29,345,190,16795,1473,68805,1305,55875,1231,255,22,16255,51,4140,39,15,29,35000,958,220,129,1040,338,135,91,0,29,210,107,12930,1150,51,053
51054,"State House District 54 (2018), Virginia",Virginia,State House District 54 (2018),84435,1174,77400,1036,530,25,2255,29,17265,50,145,81,56945,938,310,93,685,173,1640,346,10,21,270,171,7035,533,62425,946,58510,782,410,22,1590,25,12550,41,115,67,43670,708,265,70,360,130,770,213,10,21,185,104,3910,396,87220,1019,78350,1000,530,25,2740,31,17445,50,145,81,57225,923,310,93,775,196,1665,341,10,21,270,171,8865,551,64920,761,59330,720,410,22,2030,27,12705,41,115,67,43890,691,265,70,415,142,795,215,10,21,185,104,5590,367,51,054
51055,"State House District 55 (2018), Virginia",Virginia,State House District 55 (2018),82700,1436,80280,1353,775,33,1115,26,13475,51,0,29,64885,1156,390,145,325,158,760,270,155,107,185,105,2420,442,63370,1223,62035,1179,610,29,770,21,10500,45,0,29,50190,870,280,98,180,97,270,142,155,107,115,80,1335,270,84150,1465,80875,1376,775,33,1435,28,13525,52,0,29,65110,1155,390,145,345,165,760,270,155,107,185,105,3275,473,64720,1243,62555,1204,610,29,1060,24,10545,45,0,29,50370,874,280,98,205,104,270,142,155,107,115,80,2165,289,51,055
51056,"State House District 56 (2018), Virginia",Virginia,State House District 56 (2018),83175,1042,80765,1034,635,30,5410,40,10075,50,0,29,64675,958,380,140,635,258,940,324,120,94,95,91,2410,528,63945,827,62415,786,520,28,3035,32,8015,45,0,29,50905,764,265,101,140,89,285,177,120,94,65,63,1525,389,87410,1188,84395,1168,635,30,8285,41,10180,52,0,29,65325,965,380,140,665,257,940,324,120,94,95,91,3020,525,67690,892,65575,870,520,28,5515,31,8090,46,0,29,51510,752,265,101,170,96,285,177,120,94,65,63,2110,377,51,056
51057,"State House District 57 (2018), Virginia",Virginia,State House District 57 (2018),81825,1323,77605,1283,395,24,4855,33,15475,50,30,42,56595,1155,180,103,840,203,895,320,20,33,270,128,4220,443,68085,1067,65740,1036,365,24,4005,30,11785,42,4,11,49355,937,180,103,655,170,485,174,20,33,245,126,2345,286,89525,1169,83435,1138,395,24,8255,34,15900,49,30,42,58575,1080,180,103,980,238,920,319,20,33,305,138,6090,539,74900,916,70900,928,365,24,7120,30,12010,42,4,11,51140,867,180,103,755,192,505,177,20,33,280,136,3995,377,51,057
51058,"State House District 58 (2018), Virginia",Virginia,State House District 58 (2018),82540,1435,80115,1391,675,33,1665,28,6570,49,30,48,71055,1245,345,163,495,169,1165,308,70,57,180,105,2425,499,64360,1103,63040,1050,650,32,995,22,4800,41,30,48,56490,886,320,145,180,86,320,148,70,57,140,89,1320,378,84325,1487,81035,1440,675,33,2100,29,6640,49,30,48,71465,1247,345,163,495,169,1165,308,70,57,190,111,3290,489,65935,1108,63885,1074,650,32,1390,23,4865,41,30,48,56875,883,320,145,180,86,320,148,70,57,150,92,2050,345,51,058
51059,"State House District 59 (2018), Virginia",Virginia,State House District 59 (2018),80165,1124,78460,1162,405,26,450,19,16845,47,25,30,60735,1042,175,82,120,67,755,252,45,60,40,43,1705,300,63535,883,62625,873,315,23,325,17,13010,39,25,30,48965,760,145,64,75,55,200,101,45,60,30,30,910,239,81110,1144,78940,1190,405,26,540,20,16855,47,25,30,61115,1093,175,82,120,67,755,252,45,60,40,43,2170,374,64395,874,63050,887,315,23,415,18,13020,39,25,30,49290,793,145,64,75,55,200,101,45,60,30,30,1345,232,51,059
51060,"State House District 60 (2018), Virginia",Virginia,State House District 60 (2018),74620,734,73450,751,555,31,450,17,25155,61,15,22,47305,417,200,88,40,43,1400,437,175,154,135,110,1170,163,60065,661,59360,662,490,30,385,17,19420,53,15,22,39140,285,185,83,40,43,620,231,150,149,55,45,705,156,76070,456,74065,644,555,31,585,17,25425,61,15,22,47490,419,200,88,45,43,1400,437,175,154,165,124,2005,419,61450,333,59915,532,490,30,510,16,19645,52,15,22,39320,283,185,83,40,43,620,231,150,149,85,75,1535,415,51,060
51061,"State House District 61 (2018), Virginia",Virginia,State House District 61 (2018),76415,616,74900,461,395,24,635,28,26060,48,35,47,47825,370,85,55,205,185,790,320,85,98,40,35,1515,385,61540,477,60700,343,275,25,430,21,20720,37,35,47,39295,284,80,54,90,77,150,100,85,98,40,35,840,305,77740,451,75120,466,395,24,750,29,26080,48,35,47,47905,358,85,55,215,191,790,320,85,98,40,37,2620,82,62575,363,60900,345,275,25,540,23,20725,37,35,47,39375,271,80,54,100,83,150,100,85,98,40,37,1675,119,51,061
51062,"State House District 62 (2018), Virginia",Virginia,State House District 62 (2018),82280,1630,76230,1651,800,31,2445,32,25820,60,165,59,46515,1415,225,107,420,194,1015,288,45,48,525,205,6050,573,63510,1351,59790,1323,580,28,1990,28,18935,49,105,58,38030,953,190,84,215,123,305,139,45,48,195,88,3720,416,85465,1668,77375,1688,800,31,2725,33,25950,60,165,59,47255,1497,225,107,420,194,1015,288,45,48,525,205,8090,699,66470,1339,60825,1320,580,28,2245,29,19060,49,105,58,38680,995,190,84,215,123,305,139,45,48,195,88,5645,476,51,062
51063,"State House District 63 (2018), Virginia",Virginia,State House District 63 (2018),77245,1382,73560,1372,385,26,940,25,45980,58,95,67,26150,995,75,48,260,137,860,227,160,114,165,92,3685,517,60145,925,57890,938,365,25,780,23,35710,52,80,61,20950,750,75,48,145,109,445,173,140,100,150,81,2255,333,78715,1423,74180,1388,385,26,1040,25,46260,58,95,67,26390,999,75,48,260,138,865,227,160,114,165,92,4535,553,61465,932,58450,937,365,25,850,23,35960,51,80,61,21190,745,75,48,145,109,450,174,140,100,150,81,3010,339,51,063
51064,"State House District 64 (2018), Virginia",Virginia,State House District 64 (2018),78965,1203,77110,1165,865,35,1095,25,19700,56,25,31,55315,932,580,273,430,140,940,340,75,91,190,108,1855,412,62665,891,61315,859,675,32,730,22,15560,47,25,31,44330,675,425,183,205,101,390,190,65,78,55,49,1345,307,79840,1138,77570,1165,865,35,1250,25,19700,56,25,31,55605,951,580,273,430,140,940,340,75,91,200,112,2270,308,63435,854,61775,867,675,32,885,22,15560,47,25,31,44625,685,425,183,205,101,390,190,65,78,65,52,1660,240,51,064
51065,"State House District 65 (2018), Virginia",Virginia,State House District 65 (2018),87735,1486,85140,1423,460,31,3040,33,10880,57,45,60,70705,1237,235,145,595,232,670,348,160,146,165,116,2595,598,66990,1037,65455,1004,390,28,2000,29,8655,48,15,29,54470,872,180,90,320,188,235,154,160,146,85,54,1535,339,89070,1474,86170,1416,460,31,3525,35,10890,57,45,60,71245,1231,235,145,655,277,670,348,160,146,165,116,2900,646,68285,991,66445,975,390,28,2465,32,8665,48,15,29,54985,862,180,90,370,244,235,154,160,146,85,54,1840,383,51,065
51066,"State House District 66 (2018), Virginia",Virginia,State House District 66 (2018),84355,1697,80355,1702,710,35,2515,34,17685,58,15,21,59155,1540,240,135,660,262,805,258,195,145,475,240,4000,584,63195,1289,60970,1208,580,30,1775,28,12370,48,15,21,46070,1122,240,135,310,155,400,133,130,88,295,169,2225,354,86780,1561,81395,1692,710,35,2845,35,17715,58,15,21,59820,1528,240,135,660,262,805,258,195,145,495,242,5385,840,65460,1109,61925,1183,580,30,2070,29,12400,48,15,21,46680,1089,240,135,310,155,400,133,130,88,310,172,3535,480,51,066
